"Name","birth_year","death_year","Target","first_year","last_year"
Frederick Stanley Carpenter,"1,817","1,890",ESL,1866,1871
George Carter,NA,NA,ESL,1860,1860
Richard Cavendish,"1,794","1,876",ESL,1864,1867
Edwin Chadwick,"1,800","1,890",ESL,1845,1848
Hugo Mavesyn Chadwick,"1,793","1,854",ESL,1852,1854
Charles Harcourt Chambers,"1,826","1,876",ESL,1862,1871
Escott Chambers,NA,NA,ESL,1869,1869
William Charlton,"1,814","1,880",ESL,1855,1871
Frederick Chatfield,"1,801","1,872",ESL,1860,1862
William Dinsdale Child,NA,"1,879",ESL,1844,1871
Robert Walker Childs,NA,NA,ESL,1844,1844
T J Cholmondeley,"1,818","1,883",ESL,1868,1871
William Dingle Chowne,"1,791","1,870",ESL,1844,1844
Henry Christy,"1,810","1,865",ESL,1854,1865
James Graham Churcher,NA,NA,ESL,1862,1863
x Clark,NA,NA,ESL,1843,1848
James Clark,"1,788","1,870",ESL,1844,1870
C Clarke,NA,NA,ESL,1843,1843
Hyde Clarke,"1,815","1,895",ESL,1867,1867
John Clarke,"1,802","1,879",ESL,1855,1855
Robert Clarke,NA,NA,ESL,1862,1871
William Aloysius Clavering,"1,800","1,872",ESL,1861,1871
William Clay,"1,791","1,869",ESL,1861,1868
John Clendinning,NA,NA,ESL,1844,1848
William Clift,"1,775","1,849",ESL,1844,1849
Edward North Clifton,NA,NA,ESL,1844,1844
Thomas Coates,NA,NA,ESL,1844,1844
W  Spencer Cockings,NA,NA,ESL,1862,1866
Thomas Edward Colebrooke,"1,813","1,890",ESL,1860,1871
John Sherrard Coleman,"1,828","1,905",ESL,1854,1871
x Collier,NA,NA,ESL,1844,1844
W W Collins,NA,"1,880",ESL,1862,1871
x Colonsay,"1,793","1,874",ESL,1867,1871
John Conolly,"1,794","1,866",ESL,1851,1855
George Ford Copeland,"1,810","1,873",ESL,1861,1871
Tullie Cornthwaite,"1,807",NA,ESL,1845,1871
W Coulson,"1,795","1,860",ESL,1844,1844
John Crawfurd,"1,783","1,868",ESL,1847,1868
Oswald John Crawfurd,"1,834","1,909",ESL,1861,1871
W J Crichton,NA,NA,ESL,1862,1868
J  McGregor Croft,NA,NA,ESL,1860,1862
Thomas Francis Dillon Croker,"1,831","1,912",ESL,1857,1871
Jonathan Sparrow Crowley,"1,826","1,888",ESL,1862,1867
Richard Cull,NA,"1,892",ESL,1845,1857
Henry Syer Cuming,"1,817","1,902",ESL,1844,1844
Richard S Cunliffe,NA,"1,879",ESL,1855,1871
Alexander Cunningham,"1,814","1,893",ESL,1869,1871
Manockjee Cursetjee,"1,808","1,887",ESL,1865,1868
George Cutler,NA,NA,ESL,1860,1871
Marie-Armand de Castera-Macaya D'Avezac,"1,798","1,875",ESL,1855,1871
T Dakin,NA,NA,ESL,1856,1856
David Dale,"1,829","1,906",ESL,1860,1863
G  Wythes Daniell,NA,NA,ESL,1858,1871
William Freeman Daniell,"1,818","1,865",ESL,1843,1865
Robert Dukinfield Darbishire,"1,826","1,908",ESL,1868,1871
P  Francis Dart,NA,NA,ESL,1843,1851
Charles Darwin,"1,809","1,882",ESL,1861,1871
Erasmus (Ras) Darwin,"1,804","1,881",ESL,1862,1863
George Webbe Dasent,"1,817","1,896",ESL,1860,1860
George Henry Daw,NA,NA,ESL,1868,1871
William Boyd Dawkins,"1,837","1,929",ESL,1869,1871
G T Day,NA,NA,ESL,1844,1844
George Dennis,"1,814","1,898",ESL,1869,1869
M Des Barres,"1,800","1,885",ESL,1851,1862
x Devonshire,"1,808","1,891",ESL,1862,1871
Hugh Welch Diamond,"1,809","1,886",ESL,1846,1852
John jun Dickinson,NA,NA,ESL,1865,1871
John Jun Dickinson,"1,782","1,869",ESL,1861,1869
Henry Dickman,NA,NA,ESL,1862,1869
Charles Sheffield Dickson,NA,NA,ESL,1848,1848
Peter Dickson,NA,NA,ESL,1866,1867
Charles Wentworth Dilke,"1,843","1,911",ESL,1870,1871
Jacob Ludwig Dohne,"1,811","1,879",ESL,1856,1871
Cornelius Donovan,"1,820","1,872",ESL,1863,1869
Gustavus Dressler,NA,NA,ESL,1844,1844
x Dublin,"1,787","1,863",ESL,1844,1863
Samuel Duckworth,NA,NA,ESL,1844,1848
William Duckworth,"1,795","1,876",ESL,1863,1868
David Duncan,"1,839","1,923",ESL,1870,1871
Peter Martin Duncan,"1,824","1,891",ESL,1869,1869
R  Murray Dundas,NA,NA,ESL,1843,1845
Alfred John Dunkin,"1,812","1,879",ESL,1868,1871
Robert Dunn,"1,799","1,877",ESL,1844,1871
x Dunraven & Mountearl,"1,812","1,871",ESL,1870,1871
Patrick Frederick Durham,NA,NA,ESL,1843,1849
William Thistleton Dyer,NA,NA,ESL,1845,1850
George Windsor Earl,"1,813","1,865",ESL,1862,1862
Joseph William Eastwood,"1,828","1,916",ESL,1862,1871
John Edwards,NA,NA,ESL,1870,1871
Francis Egerton,"1,800","1,857",ESL,1844,1857
George Granville Francis Egerton,"1,823","1,862",ESL,1857,1862
x Egypt,"1,822","1,863",ESL,1862,1863
John Elder,"1,824","1,869",ESL,1855,1855
Walter Elliot,"1,803","1,887",ESL,1869,1871
J H Elliott,NA,NA,ESL,1849,1849
James Ellis,NA,NA,ESL,1862,1862
John Elphinstone,NA,"1,854",ESL,1844,1854
Mountstuart Elphinstone,"1,779","1,859",ESL,1844,1859
John E Erichsen,"1,818","1,896",ESL,1843,1847
William Erle,"1,793","1,880",ESL,1863,1871
Kennedy Erskine,"1,828","1,870",ESL,1861,1861
William Euing,"1,788","1,874",ESL,1866,1871
John Evans,"1,823","1,908",ESL,1861,1871
William Fairbairn,"1,789","1,874",ESL,1863,1871
Adam Storey Farrar,"1,826","1,905",ESL,1870,1871
Adolphe Duchart Fauvet,NA,NA,ESL,1843,1847
W S Featherstone,NA,NA,ESL,1846,1846
Edwin Foxton Firby,NA,NA,ESL,1864,1871
James Firm,NA,NA,ESL,1854,1871
Anthony Lax Fisher,NA,NA,ESL,1863,1867
Morton Coates Fisher,NA,NA,ESL,1870,1871
Robert Fitzroy,"1,805","1,865",ESL,1851,1863
William S Fitzwilliam,NA,NA,ESL,1868,1871
James William Fleming,NA,NA,ESL,1861,1863
John B Fletcher,NA,NA,ESL,1847,1847
Joseph Fletcher,NA,"1,852",ESL,1844,1852
John Wickham Flower,"1,807","1,873",ESL,1869,1871
George Folsom,"1,802","1,869",ESL,1866,1869
David Forbes,"1,828","1,876",ESL,1869,1871
Richard Fort,"1,822","1,868",ESL,1864,1868
G A Forteath,"1,819","1,862",ESL,1844,1844
Robert Nicholas Fowler,"1,828","1,891",ESL,1851,1871
William Fowler,NA,NA,ESL,1851,1851
Charles Henry Fox,NA,NA,ESL,1861,1871
Augustus Wollaston Franks,"1,826","1,897",ESL,1863,1871
Thomas Fraser,"1,808","1,891",ESL,1865,1871
William Freund,"1,806","1,894",ESL,1853,1871
John Friend,NA,NA,ESL,1851,1852
Albert Fytche,"1,820","1,892",ESL,1866,1871
Griffin Curtis Galt,NA,NA,ESL,1845,1845
Douglas Galton,"1,822","1,899",ESL,1861,1871
Francis Galton,"1,822","1,911",ESL,1862,1871
C T Gardner,NA,NA,ESL,1869,1871
E V Gardner,NA,NA,ESL,1861,1871
Peter Gardner,NA,"1,872",ESL,1846,1871
Thomas B Gascoyne,NA,NA,ESL,1862,1863
John Peter Gassiot,"1,797","1,877",ESL,1862,1871
x Gawler,"1,795","1,869",ESL,1844,1846
Enrico Hillyer Giglioli,"1,845","1,909",ESL,1862,1871
William Gillespie,NA,"1,875",ESL,1865,1871
James William Glass,"1,825","1,857",ESL,1852,1852
x Glasse,NA,NA,ESL,1843,1856
Albert Gledstanes,NA,NA,ESL,1845,1845
George Grenfell Glyn,"1,824","1,887",ESL,1860,1862
Isaac Lyon Goldsmid,"1,778","1,859",ESL,1844,1847
Thomas Gole,NA,NA,ESL,1844,1847
Richard Thomas Gore,"1,799","1,881",ESL,1860,1869
John Gould,"1,804","1,881",ESL,1843,1860
D G Goyder,"1,796","1,878",ESL,1855,1855
x Granville,"1,833","1,900",ESL,1843,1844
George Bellas Greenough,"1,778","1,855",ESL,1844,1855
William Greenwell,"1,820","1,918",ESL,1868,1869
William Rathbone Greg,"1,809","1,881",ESL,1865,1871
Charles Edward Grey,"1,785","1,865",ESL,1860,1862
George Grey,"1,812","1,898",ESL,1860,1871
Henry Rowland Ellison Grey,"1,834","1,909",ESL,1861,1871
John Griffith,NA,NA,ESL,1848,1848
Richard Trygarn Griffith,"1,788","1,866",ESL,1864,1866
J C Griffiths,NA,NA,ESL,1843,1849
Richard Clewin Griffiths,NA,NA,ESL,1844,1849
John Grover,NA,NA,ESL,1844,1847
Augustus Guest,NA,NA,ESL,1847,1847
William Vernon Guise,"1,816","1,887",ESL,1869,1871
John Henry Gurney,"1,819","1,890",ESL,1860,1867
Alexander Guthrie,"1,796","1,865",ESL,1862,1862
James Guthrie,NA,"1,900",ESL,1862,1871
Johann Franz ('Julius') Haast,"1,822","1,887",ESL,1870,1871
William Hall,NA,NA,ESL,1843,1850
Henry Hallam,"1,777","1,859",ESL,1846,1852
Alexander C Hamilton,NA,NA,ESL,1869,1871
Archibald Hamilton,"1,818","1,880",ESL,1863,1871
Rowland Hamilton,NA,NA,ESL,1853,1871
F W Harrer,NA,NA,ESL,1861,1861
William Cornwallis Harris,"1,807","1,848",ESL,1844,1848
Charles (1) Harrison,NA,NA,ESL,1869,1871
William G S Harrison,NA,NA,ESL,1851,1853
John E Harvey,NA,"1,879",ESL,1863,1871
John Hastings,NA,NA,ESL,1844,1850
Walter Hawkins,NA,NA,ESL,1844,1860
John Hay,NA,NA,ESL,1861,1862
Ferdinand Vandeveer Hayden,"1,829","1,887",ESL,1869,1871
R W Haynes,NA,NA,ESL,1861,1861
Peter Christian Heldman,"1,808","1,866",ESL,1862,1862
Alexander Henderson,"1,804",NA,ESL,1854,1871
Robert Henderson,"1,811","1,871",ESL,1863,1871
Joseph Henry,"1,797","1,878",ESL,1869,1871
James Hepburn,"1,811","1,869",ESL,1867,1869
Robert Hepburn,NA,NA,ESL,1855,1871
B Hewitt,NA,NA,ESL,1871,1871
Jonas B Hewitt,NA,NA,ESL,1869,1869
James Heywood,"1,810","1,897",ESL,1844,1871
Arthur Hill,NA,NA,ESL,1844,1844
Frederick Hindmarsh,NA,"1,875",ESL,1844,1871
x Hitchman,"1,805","1,867",ESL,1853,1853
Thomas (1) Hodgkin,"1,798","1,866",ESL,1844,1862
Brian Houghton Hodgson,"1,801","1,894",ESL,1854,1871
Kirkman Daniel Hodgson,"1,814","1,879",ESL,1863,1871
"x Hoeven, Van der","1,801","1,868",ESL,1861,1868
J W Holgate,NA,NA,ESL,1843,1845
Robert Hollond,"1,808","1,877",ESL,1862,1867
x Holmberg,"1,818","1,864",ESL,1861,1861
H N Holme,NA,NA,ESL,1843,1845
Joseph Hooker,"1,817","1,911",ESL,1868,1871
Frederick William Hope,"1,797","1,862",ESL,1846,1851
W J S Horton,NA,NA,ESL,1864,1868
John Camden Hotten,"1,832","1,873",ESL,1866,1871
Alfred How,NA,NA,ESL,1854,1854
Henry Hoyle Howorth,"1,842","1,923",ESL,1866,1871
T A Hughes,NA,NA,ESL,1844,1844
Thomas McKenny Hughes,"1,832","1,917",ESL,1869,1871
"Alexander Humboldt, Von","1,769","1,859",ESL,1853,1859
George S  Lennon Hunt,NA,NA,ESL,1862,1870
James Hunt,"1,833","1,869",ESL,1856,1869
John (2) Hunt,NA,"1,879",ESL,1866,1871
William Wilson Hunter,"1,840","1,900",ESL,1870,1871
Frank J Husband,NA,NA,ESL,1862,1862
H A Husband,NA,NA,ESL,1867,1868
Thomas Henry Huxley,"1,825","1,895",ESL,1863,1871
William Imrie,"1,836","1,906",ESL,1848,1867
Robert Ingham,"1,793","1,875",ESL,1844,1862
John Inglis,"1,808","1,891",ESL,1854,1871
Robert M Inman,NA,NA,ESL,1869,1871
Arthur Constantine Ionides,"1,810","1,890",ESL,1844,1850
J  Clayfield Ireland,NA,NA,ESL,1860,1862
x Isenburg,NA,NA,ESL,1854,1871
Henry (the father) Jackson,"1,806","1,866",ESL,1851,1866
x Jagor,"1,816","1,900",ESL,1870,1870
F H Janson,NA,NA,ESL,1863,1870
John Moore Jeffcott,"1,816","1,892",ESL,1869,1871
Edmund Jeffries,NA,NA,ESL,1864,1871
x Johore,"1,833","1,895",ESL,1866,1871
James Jones,NA,NA,ESL,1862,1871
William Jones,NA,NA,ESL,1848,1852
William Arthur Jones,"1,818","1,873",ESL,1869,1871
William Jordan,NA,NA,ESL,1861,1862
J  Beete Jukes,"1,811","1,869",ESL,1846,1848
J Kaines,NA,NA,ESL,1844,1844
J W  (1) Kaye,NA,NA,ESL,1847,1847
Walter K Kelly,NA,NA,ESL,1844,1845
James (1) Kennedy,NA,NA,ESL,1853,1858
Richard Hartley Kennedy,NA,NA,ESL,1855,1868
James Kernahan,"1,827","1,875",ESL,1868,1869
David King,NA,"1,866",ESL,1844,1866
Joseph Charles King,NA,NA,ESL,1843,1843
Richard King,"1,811","1,876",ESL,1844,1871
S W King,NA,NA,ESL,1861,1863
Phillip Kingsford,NA,NA,ESL,1844,1851
Charles Kingsley,"1,819","1,875",ESL,1856,1871
Andrew Valentine Kirwan,"1,801","1,870",ESL,1843,1844
Richard Kirwan,"1,828","1,872",ESL,1869,1871
J L Knapp,NA,NA,ESL,1854,1871
William Knight,NA,NA,ESL,1848,1848
Robert Knox,"1,791","1,862",ESL,1843,1845
Samuel Harley Kough,NA,NA,ESL,1855,1855
Samuel Laing,"1,812","1,897",ESL,1863,1871
Jones Lamprey,"1,824","1,900",ESL,1869,1869
Augustus Henry Lane Fox later Pitt Rivers,"1,827","1,900",ESL,1861,1871
Andrew Lang,"1,844","1,912",ESL,1861,1871
J Langlands,NA,NA,ESL,1867,1871
R Langlands,NA,NA,ESL,1867,1867
Robert Gordon Latham,"1,812","1,888",ESL,1844,1853
Joseph Law,NA,"1,897",ESL,1852,1852
Edward Lawford,"1,820","1,899",ESL,1857,1871
John Lawrence,NA,NA,ESL,1856,1856
Henry N Lay,NA,NA,ESL,1863,1867
Austen Henry Layard,"1,817","1,894",ESL,1853,1871
x Layland,NA,NA,ESL,1869,1869
John Edward Lee,"1,808","1,887",ESL,1870,1871
J G S Lefevre,NA,NA,ESL,1843,1848
x Lefroy,"1,817","1,890",ESL,1870,1870
Joseph Leidy,"1,823","1,891",ESL,1869,1871
Arthur Charles Wriothesley Lennox,"1,842","1,876",ESL,1866,1871
Richard Lepsius,"1,810","1,884",ESL,1854,1871
Karl Georg Friedrich Rudolf Leuckart,"1,822","1,898",ESL,1861,1871
Malcolm Lewin,NA,"1,869",ESL,1850,1869
James Lewis,NA,NA,ESL,1855,1855
x Library of the Corporation of London,NA,NA,ESL,1866,1866
Joseph Lister,"1,827","1,912",ESL,1844,1847
W J Little,NA,NA,ESL,1844,1844
Edmund Lloyd,NA,NA,ESL,1861,1861
Francis Lloyd,NA,NA,ESL,1844,1850
William Horton Lloyd,NA,NA,ESL,1844,1847
William Lockhart,"1,811","1,896",ESL,1861,1871
Abraham Logan,"1,816","1,873",ESL,1863,1871
J R Logan,"1,819","1,869",ESL,1848,1869
x Londesborough,"1,834","1,900",ESL,1854,1857
William Long,"1,817","1,886",ESL,1869,1871
Horatio Love,NA,"1,882",ESL,1850,1871
x Lovewell,NA,NA,ESL,1845,1845
John Lubbock,"1,834","1,913",ESL,1863,1871
Johann Constantin August Lucae,"1,835","1,911",ESL,1861,1871
J W Lukis,"1,816","1,894",ESL,1870,1871
John Gray Macfarlane,NA,NA,ESL,1865,1871
G Macgowan,NA,NA,ESL,1861,1871
K Mackenzie,NA,NA,ESL,1856,1856
Samuel Joseph Mackie,"1,823","1,902",ESL,1861,1864
Lauchlan Mackinnon,"1,817","1,888",ESL,1862,1862
Daniel Mackintosh,"1,815","1,891",ESL,1861,1868
J Mackrell,NA,NA,ESL,1850,1862
Samuel Maclean,"1,818","1,864",ESL,1854,1856
George Macleay,"1,809","1,891",ESL,1869,1869
Andrew Maclure,"1,813","1,886",ESL,1866,1871
Charles James Major,NA,NA,ESL,1844,1844
Charles Malcolm,"1,782","1,851",ESL,1844,1851
William Elphinstone Malcolm,"1,817","1,907",ESL,1844,1871
Alfred Mallalieu,NA,NA,ESL,1844,1844
Robert James Mann,"1,817","1,886",ESL,1866,1871
Clements Robert Markham,"1,830","1,916",ESL,1864,1871
Matthew Henry Marsh,"1,810","1,881",ESL,1862,1871
Peter Marshall,NA,NA,ESL,1844,1844
William Marshall,"1,796","1,872",ESL,1866,1867
Edward Martin,NA,NA,ESL,1844,1844
Richard Biddulph Martin,"1,838","1,916",ESL,1868,1871
Thomas Martin,NA,NA,ESL,1844,1844
James Wood Mason,"1,846","1,893",ESL,1869,1871
Edward V Maur,"1,804","1,885",ESL,1861,1861
Alfred Maury,"1,817","1,892",ESL,1861,1871
George Maw,"1,832","1,912",ESL,1865,1868
Peter Benson Maxwell,"1,817","1,893",ESL,1867,1871
Thomas May,NA,NA,ESL,1844,1844
Joseph Mayer,"1,803","1,886",ESL,1854,1871
William Frederick Mayers,"1,831","1,878",ESL,1864,1871
John S Mayson,"1,825",NA,ESL,1856,1864
James McClelland,"1,799","1,879",ESL,1854,1870
John Ferguson McLennan,"1,827","1,881",ESL,1870,1871
John Frederick McNair,"1,828","1,910",ESL,1866,1871
H McNicholl,NA,NA,ESL,1854,1854
Thomas Taylor Meadows,"1,815","1,868",ESL,1854,1868
James Aitken Meigs,"1,829","1,879",ESL,1861,1871
Edward Meryon,NA,NA,ESL,1844,1844
Samuel Rush Meyrick,"1,783","1,848",ESL,1843,1843
William Augustus Miles,NA,NA,ESL,1851,1871
Joseph Milligan,"1,807","1,884",ESL,1861,1871
Henri Milne-Edwards,"1,800","1,885",ESL,1853,1871
x Milton,"1,839","1,877",ESL,1864,1871
Albert Mitchell,NA,NA,ESL,1868,1871
Alexander (1) Mitchell,"1,831","1,873",ESL,1858,1871
Matthew Moggridge,"1,803","1,882",ESL,1869,1871
J Monro,NA,NA,ESL,1854,1854
Patrick Montgomery,NA,NA,ESL,1864,1867
Robert Mortimer Montgomery,NA,NA,ESL,1863,1868
John Moody,NA,NA,ESL,1868,1871
Joseph Moore,NA,"1,856",ESL,1844,1856
Alexander Morison,"1,779","1,866",ESL,1844,1855
Edward Morris,NA,NA,ESL,1869,1869
Edward Rowley Morris,"1,828","1,893",ESL,1870,1871
Eugene Morris,NA,NA,ESL,1869,1871
John Morris,"1,823","1,905",ESL,1869,1871
Richard Morris,NA,NA,ESL,1869,1869
Walter Morrison,"1,836","1,921",ESL,1870,1871
J Muir,"1,810","1,882",ESL,1865,1869
Friedrich Max Muller,"1,823","1,900",ESL,1865,1871
Johan Muller,"1,801","1,858",ESL,1853,1858
x Munro,NA,NA,ESL,1843,1857
Francis Kerridge Munton,NA,NA,ESL,1870,1871
Roderick Impey Murchison,"1,792","1,871",ESL,1860,1871
John Murray,"1,808","1,892",ESL,1861,1870
G N Mussabini,NA,NA,ESL,1851,1851
N G Mussabini,NA,NA,ESL,1844,1844
Dadabhai Naoroji,"1,825","1,917",ESL,1866,1867
William Napier,"1,804","1,879",ESL,1861,1871
William Donald Napier,NA,NA,ESL,1863,1868
Davyd William Nash,"1,810","1,876",ESL,1848,1871
Robert Lucas Nash,"1,818","1,871",ESL,1870,1871
Alexander Nasmyth,"1,789","1,849",ESL,1844,1846
Dominico Navoni,NA,NA,ESL,1844,1844
J  Dormer Neale,NA,"1,884",ESL,1868,1871
Francis G P Neison,NA,NA,ESL,1844,1853
William Neison,NA,NA,ESL,1845,1852
Robert Stirling (1) Newall,"1,812","1,889",ESL,1870,1871
F W Newman,NA,NA,ESL,1843,1846
Thomas Nicholas,NA,NA,ESL,1869,1869
Brinsley Nicholson,"1,824","1,892",ESL,1855,1871
Charles Nicholson,"1,808","1,903",ESL,1858,1865
D Nicol,NA,NA,ESL,1862,1862
J  Dyce Nicol,NA,NA,ESL,1862,1871
Donald Nicoll,NA,NA,ESL,1868,1868
Giustiniano Nicolucci,"1,819","1,904",ESL,1862,1871
Sven Nilsson,"1,787","1,883",ESL,1860,1871
Josiah Clark Nott,"1,804","1,873",ESL,1861,1871
Thomas William Nunn,"1,825","1,909",ESL,1851,1851
P O'Callaghan,NA,NA,ESL,1870,1871
George O'Gorman,NA,NA,ESL,1846,1852
Edward O'Riley,NA,NA,ESL,1860,1871
William Ogilby,NA,NA,ESL,1845,1850
Laurence Oliphant,"1,829","1,888",ESL,1860,1868
Samuel Pasfield Oliver,"1,838","1,907",ESL,1868,1869
Gustav Oppert,"1,836","1,908",ESL,1869,1871
W  Billing Orton,NA,NA,ESL,1868,1871
Sherard Osborn,"1,822","1,875",ESL,1867,1871
Charles Otto,"1,795","1,879",ESL,1853,1871
Frederick Ouvry,"1,814","1,881",ESL,1868,1871
John Downes Owens,"1,809","1,865",ESL,1848,1848
Thomas Page,NA,NA,ESL,1844,1844
Arthur Paget,"1,851","1,928",ESL,1861,1861
William Gifford Palgrave,"1,826","1,888",ESL,1868,1871
Harry Parkes,"1,828","1,885",ESL,1862,1871
Charles Pasley,"1,824","1,890",ESL,1848,1860
Edmund Patterson,NA,NA,ESL,1860,1871
C H Pearson,"1,830","1,894",ESL,1856,1862
Francisco E Pereira,NA,NA,ESL,1865,1871
Erskine Perry,"1,806","1,882",ESL,1853,1854
George Michael Perry,NA,NA,ESL,1854,1856
Josef Anton Maximilian Perty,"1,804","1,884",ESL,1860,1871
Horace William Petherick,"1,839","1,919",ESL,1864,1871
William Vesalius Pettigrew,NA,NA,ESL,1852,1856
Arthur Phayre,"1,812","1,885",ESL,1862,1871
Benjamin Phillips,NA,NA,ESL,1851,1853
Philip Phoebus,"1,804","1,880",ESL,1861,1867
Edward Pick,NA,NA,ESL,1861,1864
