"Name","title","gender_id","birth_year","death_year","data_source_id","notes"
Edwin Henry Baverstock,NA,1,NA,NA,1,"National Debt Office O. Jewry... East Sheen Lodge, Richmond Park, SW"
James Bainbridge Baxter,NA,1,NA,NA,1,"Ironbridge Cottage, Brixton S"
Thomas Henry Baylis,NA,1,1817,1908,1,"3 The Terr. Kensington Gardens Square"
Samuel Beal,Revd.,1,1825,1889,1,"Fort Cumberland, Portsmouth "
John S Beale,NA,1,NA,NA,1,"17 Paddington Green, W. [1863]4 Porteus Road W. [1865]"
Lionel John Beale,NA,1,1796,1871,1,"12 Wilton Place, Belgrave Sq.[1853]108 Long Acre [1862]"
Frank Carr Beard,NA,1,NA,NA,1,"44 Welbeck Street, Cavendish Sq"
Amos Beardsley,NA,1,NA,NA,1,"The Grange, near Ulverstone, Lancashire "
William Beattie,NA,1,1793,1875,1,"13 Upper Berkeley Street [1862]"
Richard Beaumont,NA,1,NA,NA,1,"2 Suffolk Square Cheltenham [1856]"
Hugh J C Beavan,NA,1,NA,NA,1,"Middle Temple. EC [1863]13 Blandford Square, Regent's Park, N.W. and Grafton Club W. [1864]4 Middle Temple Lane [A6:3]"
R C Beavan,Lieut.,1,NA,NA,1,"HMIA Calcuttac/o Grindlay and Co, Calcutta"
Alfred Becquet,NA,1,NA,NA,1,Namur
x Beechey,Rear Admiral,1,1796,1856,1,Westbourne Crescent Hyde Park
Hermann Beigel,NA,1,1830,1879,1,"3 Finsbury Square EC[in A6:3] 3 Finsbury Sq. crossed out in favour of 56 Russell Square2 Lichtensteingasse, Vienna... c/o J. Epstein, 11 Newgate Street, EC"
C W  Bowdler Bell,NA,1,1839,NA,1,"5th Lancers, Lucknow   c/o Messrs Clark & Co., 50 Leicester Square, WC"
James Bell,NA,1,1818,1872,1,"15 Langham Place"
John Bell (2),NA,1,1811,1895,1,Camden Hill Kensington
Robert Bell,NA,1,NA,NA,1,
William Abraham Bell,NA,1,1841,1921,1,"c/o Dr Bell [Bird], 10 [18]Hertford St... New University Club St James' street18 Hertford St., Mayfair [1872]"
Edward Bellamy,NA,1,1837,1889,1,"10 Duke Street, St James's [1865, 1867, 1869]57 Moorgate Street, EC [1881]14 Buckingham Street, Victoria [1883]Embankment, W.C. [1885]17 Wimpole Street, W. [1887]"
Henry Walter Bellew,Surgeon Major,1,1834,1892,1,"Peshawar [1870]30 Ladbroke Gardens, Notting hill... and Peshawur, India [1875] [London part of address crossed out in A31/3/2]Khatmander, Nepaul, India [1879]Residency surgeon, Lahore, Punjab c/o Messrs Grindlay, Groom and co., Bombay [1881]83 Linden Gardens, Bayswater, W. [1888]"
William Painter Belliss,NA,1,NA,NA,1,"30 Springfield Road, St John's Wood, NWWhite Cottage, Church St., Edmonton [A6:1][1867]30 Springfield Rd crossed out in A6:3 in favour of ? c/o Union B[an]k P[all] Mall"
D Bellock,NA,1,NA,NA,1,
Lewis F Bellot,NA,1,NA,NA,1,
Adolph Bendir,NA,1,1834,NA,1,"1 Lansdowne Terrace, Stockwell13 Lansdowne Circus, Stockwell, SW [A6:2]"
Thomas Bendyshe,NA,1,1827,1886,1,"7 Old Square, Lincoln's Inn, WC [1863]88 Cambridge Street, Pimlico [1864]King's College, Cambridge [A6:2]&[1872]3 Sea View Place, Margate [1885]"
Charles Bennett,NA,1,NA,NA,1,"General Post Office, LondonGeneral Post Office, EC c/o Messrs G. Phillips and co., 1 Peninsular and Oriental buildings, Southampton [1869]Carlisle [A6:2]and[1872]Exeter [1875]"
John Bennett,NA,1,1814,1897,1,"75 Cheapside, EC65 Cheapside, EC [1867][A6:2]"
Thomas John Wesley Bennett,NA,1,NA,NA,1,"39 Moorgate St. EC"
W F G Benson,NA,1,NA,NA,1,"115 Kensington, Liverpool [1863]South Road, Waterloo, near Liverpool [1866]"
William Ralph Benson,NA,1,NA,NA,1,"Allahabad, N.W. Prov. India"
Richard Bentley,NA,1,1794,1871,1,
Bartholomew Bernasconi,NA,1,NA,NA,1,"Harrow Weald and 19 Alfred Place, Bedford Sq"
George Bertram,NA,1,NA,NA,1,"Sciennes Street, Edinburgh "
Camille Bertrand,Prof.,1,NA,1863,1,Montpelier
x Best,Hon. Capt.,1,NA,NA,1,"Convict Prison, Princetown, Dartmoor, Devon "
John Henry Biddles,NA,1,1821,1903,1,"12 South Square, Grays Inn"
Thomas Bigg,NA,1,NA,NA,1,"Cronstadt House, Abbey Wood, Kent"
John Bilderbeck,NA,1,NA,NA,1,"Cuddalore, Madras"
Theodor Bilharz,Dr,1,1825,1862,1,Cairo
Henry Corles Bingham,NA,1,1801,1868,1,"Wartnaby Hall, near Melton Mowbray"
James Bird,Dr,1,NA,NA,1,
R S Birkbeck,NA,1,NA,NA,1,
James Bischoff,NA,1,NA,NA,1,"10 St Helen's Place, Bishopsgate St... and 49 Queen's terrace, Regent's Park, NW"
Andrew Black,NA,1,1851,1916,1,"23 Royal Crescent, Glasgow"
W H Black,NA,1,NA,NA,1,
William Blackmore,NA,1,1827,1878,1,"Shepley House, Carshalton [1866]Founders Court Lothbury EC [1870]"
Alan Cornwall Blackstone,NA,1,1833,1899,1,"5 Henrietta Street, Covent Garden, WC"
J H Blackwell,NA,1,NA,NA,1,
T A Blakely,Capt.,1,1827,1868,1,"34 Montpellier Square, S.W.  1 Park Lane, W. [list Aug 20 1866]Peru [A6:1]"
Henry Jules Blanc,Dr,1,NA,NA,1,"Paris... 9 Bedford St, Bedford Square[Abyssinia (Smith Elder & Co.) crossed out]Abyssinia [A3]In A31/2/4 9 Bedford St is crossed out, and King St[?] handwrittenc/o Messrs Henry King and Co., Cornhill EC [A6:2]&[1872]"
Sydney L Blanchard,NA,1,NA,NA,1,"Arundel Club, WC"
Albert Taylor Bledsoe,NA,1,1809,1877,1,"33 Argyll Road, Kensington, W. 11 Nottingham place, SW [1866]Richmond, Virginia [list Aug 20 1866]"
David Blellock,NA,1,NA,NA,1,"5 Victoria St., SW6 Victoria St, Westminster [1867]"
John Hillier Blount,NA,1,1822,1866,1,"Bagshot, SurreyAssam [1866]Bihallee Factory, via Tejpore, Assam (c/o H. Parker Esq., jun., Bedford Row, Holborn)[list Aug 20 1866]"
Frederick Edmund Blyth,NA,1,1819,1868,1,"Ashburnham Grove, Blackheath "
Henry S Boase,NA,1,NA,NA,1,"Claverhouse, near Dundee "
Anatoly Petrovich Bogdanoff,Prof.,1,1834,1896,1,Moscow
Edward B Bogg,Dr,1,NA,NA,1,"Vancouver's Island [1863, 1867, 1869]Louth, Lincolnshire [1866]"
Henry George Bohn,NA,1,1796,1884,1,"York Street Covent Garden [1862]Henrietta street, Covent Garden, WC [1868]North End House, Twickenham [1872]"
John Peter Boileau,Sir,1,1794,1869,1,"20 Upper Brook Street [1862]"
Henry James Bolding,NA,1,NA,1888,1,
Charles W Bollaert,NA,1,NA,NA,1,"Rosario, Argentine Repulbic"
William Bollaert,NA,1,1807,1876,1,"21A Hanover Square W [1862]36 Weymouth St, Portland Place [1872]"
Louis Lucien Bonaparte,His Highness Prince,1,1813,1891,1,"8 Norfolk Terrace Notting Hill W [1862]and Paris"
E Bonavia,NA,1,NA,NA,1,"9 Northwick Terrace Maida Hill W"
George Bonavia,NA,1,1818,1901,1,"9 Northwick Terr Maida HillHealth Officer, Lucknow, India via Bombay [1872]"
Charles Radcliffe Bond,NA,1,NA,NA,1,"26 Fortess Ter. Kentish Town, NW"
Walter M Bond,NA,1,NA,NA,1,"The Argosy, Moy, Ireland "
George Bonham,Sir,1,1803,1863,1,Great Western Hotel W [1862]
W C Bonnerjee,NA,1,1844,1906,1,"108 Denbigh Street, Belgravia, SW"
T  George Bonney,Revd.,1,1833,1923,1,"S. John's College, Cambridge "
Evert Julius Bonsdorff,Prof.,1,1810,1898,1,"Helsingfors [1868]Kokisgard, Salo, Uskela [1894]"
James Bonsor,NA,1,NA,1881,1,"Fore St. Warehouse, 104 Fore St EC"
James Bonwick,NA,1,1817,1906,1,"13 Alfred Rd, Acton [1869]c/o W. Beddow, 22 South Audley Street... St Kilda, Melbourne [1879]2 Balmoral Terrace, Mill Hill Park, Acton, W [1881]Hayward's Heath, Sussex [1883]Yarra Yarra, South Vale, Upper Norwood SE [1888]39 Sprules Road, Brockley, SE [1903]"
Charles Booth,NA,1,1840,1916,1,"16 Notting Hill Square [1865]22 Bank Street, Sheffield [1866]Shire House nr Rotherham [A6:1]"
W W Boreham,NA,1,1804,1887,1,"Haverhill, Suffolk "
Cunningham Borthwick,Rt. Hon. Lord,1,1813,1885,1,"17 Queen Street, Mayfair5 Austin Friars [A6:1][1869]29 Hertford Street, Mayfair, W. [A6:2]and[1872]35 Hertford street, Mayfair [1875]"
Joseph Bosworth,Revd.,1,1788,1876,1,"20 Beaumont Square, Oxford... and Water Stratford, Buckingham "
Beriah Botfield,NA,1,1807,1863,1,"5 Grosvenor Square W [1862]"
x Boucher de Crevecoeur de Perthes,NA,1,1788,1868,1,"Abbeville, France"
x Boudin,Dr,1,1806,1867,1,"210 rue de Rivoli, Paris [1863]Vincennes [1863]"
George Boulton,NA,1,NA,NA,1,"1 Gordon Square, WC "
Brasseur de Bourbourg,L'Abbe,1,1814,1874,1,"7 rue d'Arras, Paris"
x Bourien,Pere,1,NA,NA,1,
Philip Bourjeaurd,NA,1,NA,NA,1,"10 Davies St., Berkeley Sq."
Sydney Edward Bouverie Bouverie-Pusey,NA,1,1839,1911,1,"14 Grosvenor Place [1862]16 Chesham Place, SW [1863]7 Green St Grosv Sq and Pusey House Farringdon Berks [1864]Pusey House, Farringdon... and 50 Upper Brook Street, Grosvenor Square, W [1881]18 Bryanston Street, Portman Square and Pusey House, Farringdon, Berks [1885]21 Grosvenor Street, W... and Pusey House [1888]35A South Audley Street... and Pusey House, Farringdon, Berks [1901]Pusey House, Farringdon, Berks... and 40 South Audley Street, W. [1909]"
Frederick Bower,NA,1,NA,NA,1,
Robert Bowie,NA,1,NA,NA,1,
Thomas William Bowman,NA,1,NA,1893,1,"South Terrace, Gainsford, DarlingtonPark [?] College School, Maidenhead [A6:1]In A31/2/4 South Terrace, Gainsford, Darlington... and 11 Carnarvon street, St George's Road, Glasgow all crossed out"
John Bowring,Sir,1,1792,1872,1,"Claremont, ExeterAthenaeum Club SW [1862]"
William Henry Wentworth Bowyer,Revd.,1,1807,1872,1,"The Rectory, Clapham"
William Boxall,NA,1,1800,1879,1,
William Binnington Boyce,Revd.,1,1804,1889,1,"3 Angel Terrace, Brixton"
Jacob Boys,NA,1,1796,1884,1,"Grand Parade, Brighton "
Edward William Brabrook,NA,1,1839,1930,1,"3 Parliament Street, SW. [1864]8a Waterloo Place, SW [1866]1 Elm Court, Temple [in A6][1869]28 Abingdon Street, S.W. [1872]... and 177 High Street, Lewisham, S.E. [1883]178 Bedford Hill, Balham SW [1894]178 Bedford Hill, Balham SW... 28 Abingdon Street, S.W.[1899 vol. 29]Langham House, Wallington, Surrey [1915]"
Frederick Braby,NA,1,1830,1911,1,"28 Osnaburgh StreetMount Henley, Sydenham Hill, SE [list Aug 20 1866]Cathcart House, near the Boltons, South Kensington, SW [1879]Bushey Lodge, Teddington [1883]"
Charles Holt Bracebridge,NA,1,1799,1872,1,Athenaeum Club SW [1862]
Thomas Braddell,Hon.,1,1823,1891,1,Singapore
Antonio Brady,Sir,1,1811,1881,1,"Maryland Point, Stratford, Essex"
James Brady,NA,1,NA,NA,1,
P A Brady,NA,1,NA,NA,1,"Bradford, Yorkshire"
William Bragge,NA,1,1823,1884,1,"Shirle Hill SheffieldShirle Hill, Hampstead Road, Birmingham [1881]"
George M Braggiotti,NA,1,NA,NA,1,"New York (care of Messrs Corpi and Co., 10 Austin Friars) "
Thomas Henry Brain,Revd.,1,NA,NA,1,
Charles Brainsford,NA,1,NA,NA,1,"Haverhill, Suffolk"
Thomas Brankstone,NA,1,NA,NA,1,"5 St German's Place, Blackheath"
Frank William Breach,NA,1,NA,NA,1,"Los Alamos, Sonora"
A C Brebner,NA,1,NA,1873,1,"Audit Office, Somerset House"
James Brebner,NA,1,1793,1874,1,"20 Albyn Place, Aberdeen [1863, 66, 67, 69]1 Albyn Place, Aberdeen [1864]6 Albyn Place, Aberdeen [A6:2]and[1872]"
William Brent Brent,NA,1,NA,1857,1,
Charles Brett,NA,1,NA,1878,1,"Pembridge Square, Kensington The Wood, St John's, Ryde [1875]"
D J Breuneis,NA,1,NA,NA,1,"23 Henrietta St, Cavendish Sq"
J S Brickwood,NA,1,NA,NA,1,"Claremont House, Tunbridge Wells "
Edmund J Bridell,NA,1,NA,NA,1,
John Briggs,[Major General] Lt Gen,1,1785,1875,1,Oriental & Athenaeum Clubs [1862]
Lindsay Brine,Capt.,1,1834,1906,1,"Army & Navy ClubAll Saints' Rectory, Axminster [1872]HMS Briton, East Indies [1875]"
John Brinton,NA,1,1827,1914,1,"The Shrubbery, Kidderminster"
Bernard Edward Brodhurst,NA,1,1822,1900,1,"20 Grosvenor St, W. "
Benjamin Collins Brodie,Sir,1,1783,1862,1,
David Brodie,NA,1,1821,1909,1,"Institute for the Education of Imbecile Children, Larbert, Stirlingshire"
P B Brodie,Revd.,1,NA,NA,1,"Rowington Rectory, near Warwick"
Frederick Brome,Capt.,1,NA,1870,1,Gibraltar
James Brooke,"His Highness, Rajah Sir",1,1803,1868,1,"Ehrenberg Hall, Torquay andBurraton, Horrabridge, Devon "
Henry (1) Brookes,NA,1,NA,NA,1,"12 De Beauvoir Square"
Henry (2) Brookes,NA,1,NA,NA,1,"26 Great Winchester Street EC [1865]12[?] De Beauvoir Square [check]"
William Brookes,NA,1,NA,NA,1,"New South WalesBank Buildings, Newcastle, Australia [A6:1][via Southampton in list Aug 20 1866]"
x Brougham,Rt. Hon. Lord,1,1778,1868,1,"4 Grafton Street [1862]... and Brougham Hall, Westmoreland [1867]"
Charles Cornish Brown,NA,1,1846,1875,1,"7 Lansdown Pl. Clifton, Bristol"
Edward Brown,NA,1,NA,NA,1,"Oak Hill, Surbiton Hill, S."
Edwin Brown,NA,1,1818,1876,1,Burton on Trent
Edwin Ormond Brown,NA,1,NA,NA,1,"Chemical Department, Royal Arsenal, Woolwich "
George W  (1) Brown,NA,1,NA,NA,1,Queensland
James Roberts Brown,NA,1,NA,NA,1,"Scaleby Lodge, 241 Camden Road, Holloway, N. [1864]5 Langham Chambers, Langham Place [1866]2 Langham Chambers, Langham Place, W. [A6:2]84 Caversham Road, NW [1872]14 Hilldrop Road, Camden Road, N. [1879]44 Tregunter Road, South Kensington SW [1894]"
John Brown,NA,1,1801,1879,1,Australia [APS]
John Allen Brown,NA,1,1831,1903,1,"Scaleby Lodge, 241 Camden Road, W. [1865]The Laurels, The Haven, Ealing [1866]Surrey Lodge, Somerset Road, Ealing [1872]Dahlwell Lodge, Kent Gardens, Ealing [1875]7 Kent Gardens, Ealing [1889]"
John Harcourt Brown,Capt.,1,NA,NA,1,"31 Bloomsbury Street"
x Brown-Sequard,Dr,1,1817,1894,1,
J  Cave Browne,Revd.,1,NA,NA,1,Chap HM E Indian Service
Thomas Henry Browne,Revd.,1,NA,NA,1,"Stuart Lodge, High Wycombe, BucksThe Cedars, High Wycombe, Bucks [1875]"
Robert Bruce,NA,1,NA,NA,1,"Seafield Road, Dundee"
Ernst Wilhelm Ritter von Brucke,Dr,1,1819,1892,1,Vienna
Henry Brunskill,NA,1,NA,NA,1,
George Bryant,NA,1,NA,NA,1,India Office. W.
Walter Buchannan,NA,1,1797,1883,1,Glasgow and Fenton's Hotel St James's Street [1862]
Ludwig Buchner,Dr,1,1824,1899,1,Darmstadt
James Silk Buckingham,NA,1,1786,1855,1,
W E Buckley,Revd. Prof.,1,NA,NA,1,
James Buckman,Prof.,1,1818,1884,1,"Royal Agricultural College, Cirencester [1863]Bradford Abbas, near Sherborne, Dorset [1864]"
William Bull,NA,1,1828,1902,1,"536 King's Road, Chelsea SW"
James Wentworth Buller,NA,1,1798,1865,1,"109 Jermyn Street [1862]"
Henry Christopher Bunkell,NA,1,1829,1903,1,"1 Penn Road, Caledonian Road, Holloway, N. "
x Bunsen,Chevalier,1,1791,1860,1,
Henry Burden,NA,1,1835,1893,1,"10 Alfred Street, Belfast"
Daniel Earl Burdett,Dr,1,NA,NA,1,"Belleville, Ontario, Canada"
August Friedrich Marschall von Burgholzhausen,Count,1,1804,1887,1,"Wollzeil, Vienna"
John Smith Burke,NA,1,NA,1868,1,"4 Queen Square, Westminster, SW"
Luke Burke,NA,1,NA,1885,1,"27 Inkerman Road Kentish Town11 Eaton [or Eton] Street Gloucester Road [1862]5 Albert Terrace, Acton [1867]87 Marylebone Road, W. [1872]17 Burlington Road, Bayswater, W. [1875][this crossed out in favour of address below in A31/3/2]10 Alfred Place, Bedford Square, WC [1879]88 St Stephen's Avenue, Shepherd's Bush, W [1881]"
Hermann Burmeister,Prof.,1,1807,1892,1,Buenos Ayres
Samuel Burton,NA,1,NA,NA,1,"Church Hill House, Daventry "
Johann Karl Eduard Buschmann,Prof.,1,1805,1880,1,Berlin
George Busk,Prof.,1,1807,1886,1,"15 [1867] (later [1869] 32) Harley St...  Athenaeum Club [1862]"
