"Source","Target"
W Thompson,Quaker
George Treffry,Quaker
Frederick Tuckett,Quaker
W Tuke,Quaker
Thomas Turner,Quaker
James E Veale,Quaker
Jonathan Walker,Quaker
Ann Wallis,Quaker
John Warner,Quaker
Alfred Waterhouse,Quaker
Mary Waterhouse,Quaker
R Waterhouse,Quaker
Thomas Wedmore,Quaker
James Wells,Quaker
Daniel Wheeler,Quaker
W Whiting,Quaker
John Jun Williams,Quaker
W R Williams,Quaker
Charles Wilson,Quaker
George Wilson,Quaker
Isaac Wilson,Quaker
Joseph Wilson,Quaker
Rebecca Wilson,Quaker
H Wise,Quaker
William Woods,Quaker
Louisa Wright,Quaker
James Bowden,Quaker
William Nash,Quaker
Joseph Sturge,Quaker
William Jun Grimshaw,Quaker
Henry Knight,Quaker
Edward Paull,Quaker
Robert Jun Alsop,Quaker
Abram Rawlinson Barclay,Quaker
John Barclay,Quaker
Richard Barrett,Quaker
John Thomas Barry,Quaker
Peter Bedford,Quaker
John Bell,Quaker
Thomas Christy,Quaker
Samuel Darton,Quaker
Josiah Forster,Quaker
Robert Forster,Quaker
William Forster,Quaker
Joseph Talwin Foster,Quaker
John Hamilton,Quaker
Edwd Harris,Quaker
Geo Holmes,Quaker
Robert Howard,Quaker
John Kitching,Quaker
Joseph Neatby,Quaker
John Sanderson,Quaker
Joseph Shewell,Quaker
George Stacey,Quaker
 Joseph Storrs,Quaker
John M Albright,Quaker
G W Alexander,Quaker
Henry Alexander,Quaker
R D Alexander,Quaker
Thomas Allis,Quaker
John D Appleton,Quaker
Caroline Armistead,Quaker
Joseph Armistead,Quaker
Edward Ash,Quaker
Alfred Backhouse,Quaker
Edmund Backhouse,Quaker
Edward Jun Backhouse,Quaker
James Jun Backhouse,Quaker
John Church Backhouse,Quaker
J E Baker,Quaker
James Baker,Quaker
A P Balkwill,Quaker
William Ball,Quaker
Eliza Barclay,Quaker
J Gurney Barclay,Quaker
Jonathan Barrett,Quaker
R Barrett,Quaker
R C Barrow,Quaker
S Barter,Quaker
John D Bassett,Quaker
John Baynes,Quaker
John Beaumont,Quaker
Rebecca Beaumont,Quaker
William Beaumont,Quaker
Samuel Beck,Quaker
Deborah Beesley,Quaker
Paul Bevan,Quaker
Robert Bevan,Quaker
Martha A Binyon,Quaker
Thomas Binyon,Quaker
S Birchall,Quaker
Thomas Blain,Quaker
J Blunsom,Quaker
W Bott,Quaker
Christopher Bowley,Quaker
W C Bowley,Quaker
Edwin Bracher,Quaker
James Bracher,Quaker
Lucy Bradshaw,Quaker
G S Brady,Quaker
Joseph B Braithwaite,Quaker
S Braithwaite,Quaker
Charles Brewin,Quaker
Robert Brewin,Quaker
Thomas Brewin,Quaker
William Brewin,Quaker
Francis Brown,Quaker
Gopsill Brown,Quaker
W W Brown,Quaker
J F Burgess,Quaker
Wilson Burgess,Quaker
Henry Burlingham,Quaker
Jonathan Burtt,Quaker
P Burtt,Quaker
Edward North Buxton,Quaker
James Cadbury,Quaker
John M Candler,Quaker
Edward Carroll,Quaker
Joseph Cash,Quaker
Newman Cash,Quaker
William Cash,Quaker
R D Catchpool,Quaker
Thomas Catchpool,Quaker
Thomas Chalk,Quaker
Elizabeth Charelton,Quaker
James Charleton,Quaker
Robert Charleton,Quaker
Richard Christy,Quaker
Cyrus Clark,Quaker
James Clark (2),Quaker
Joseph Clark,Quaker
W S Clark,Quaker
George Cook,Quaker
J H Cotterell,Quaker
Elliott Cresson,Quaker
W D Crewdson,Quaker
Ann Cropper,Quaker
James Cropper,Quaker
John Cropper,Quaker
Joseph Crosfield,Quaker
William Crosfield,Quaker
Jeremiah Cross,Quaker
Martha Cross,Quaker
Edward A Crouch,Quaker
Abraham Crowley,Quaker
Frederick Crowley,Quaker
J Cudworth,Quaker
Mary Cudworth,Quaker
William Cudworth,Quaker
Lucy Darby,Quaker
Richard Day,Quaker
William Dent,Quaker
Barnard Dickinson,Quaker
Elizabeth G Dimsdale,Quaker
J Doubleday,Quaker
R Doubleday,Quaker
Joseph Eaton,Quaker
Thomas Emmott,Quaker
Mary Exton,Quaker
William Exton,Quaker
Abraham Fisher,Quaker
Rachel Fowler,Quaker
Thomas Fowler,Quaker
Alfred L Fox,Quaker
Francis E Fox,Quaker
Frederick H Fox,Quaker
J G Fox,Quaker
R Barclay Fox,Quaker
Philip Frith,Quaker
Frederick Fryer,Quaker
John Gayner,Quaker
Deborah Gibson,Quaker
E Gilkes,Quaker
Charles Gillett,Quaker
Jonathan Gillett,Quaker
Burwood Godlee,Quaker
Alexander Grace,Quaker
Anna Gurney,Quaker
Edmund Gurney,Quaker
Henry E Gurney,Quaker
John Gurney,Quaker
Samuel Gurney,Quaker
Daniel P Hack,Quaker
John Barton Hack,Quaker
Cornelius Hanbury,Quaker
Cornelius x Jun Hanbury,Quaker
Daniel Bell Hanbury,Quaker
Samuel Hare,Quaker
Charles L Harford,Quaker
John Harford,Quaker
Summers Harford,Quaker
William Hargreaves,Quaker
John Harlock,Quaker
Theodore Harris,Quaker
Gray Hester,Quaker
M A Hewitson,Quaker
Henry Hipsley,Quaker
John Hodgkin,Quaker
J Holdsworth,Quaker
Richard Holdsworth,Quaker
G B Holmes,Quaker
S Horman-Fisher,Quaker
Robert Horne,Quaker
John Horniman,Quaker
Charles Horsnaill,Quaker
W C Horsnaill,Quaker
Sarah Hotham,Quaker
Luke Howard,Quaker
William Howitt,Quaker
Rachel Hubbert,Quaker
Joseph Hudson,Quaker
John Huntley,Quaker
Joseph Huntley,Quaker
Martha Hutchinson,Quaker
R Impey,Quaker
Edward James,Quaker
A Janson,Quaker
William Janson,Quaker
Andrew Johnston,Quaker
Andrew & Jun Johnston,Quaker
John Jowett,Quaker
W D King,Quaker
J H Knight,Quaker
T Knott,Quaker
Edward A Leatham,Quaker
Isabella Lister,Quaker
Wilson Lloyd,Quaker
Haggar Lowe,Quaker
Edmund Lucas,Quaker
Frederick Lucas,Quaker
Jeffrey Lucas,Quaker
Martha Lucas,Quaker
Samuel Lucas,Quaker
William Jun Lucas,Quaker
Harford Lury,Quaker
J E Lury,Quaker
W Mann,Quaker
Caroline Marriage,Quaker
Edward Marsh,Quaker
Thomas William Marsh,Quaker
Thomas Maw,Quaker
Edward C May,Quaker
Francis May,Quaker
John Mayfield,Quaker
Josiah Merrick,Quaker
John Morland,Quaker
George L Neighbour,Quaker
Josiah Newman,Quaker
William Norris,Quaker
Thomas Norton,Quaker
William Norton,Quaker
William Nutter,Quaker
J J Packer,Quaker
George Palmer,Quaker
Reuben C Payne,Quaker
Arthur Pease,Quaker
Edward Pease,Quaker
Gurney Pease,Quaker
Henry Fell Pease,Quaker
John Pease,Quaker
John B Pease,Quaker
Joseph Pease,Quaker
Joseph Whitwell Pease,Quaker
Susan Pease,Quaker
Thomas Pease,Quaker
Algernon Peckover,Quaker
William Peckover,Quaker
Robert H Penney,Quaker
Isaac Pitt,Quaker
Jacob Post,Quaker
Joseph T Price,Quaker
Lydia Prideaux,Quaker
Samuel Priestman,Quaker
John Pryor,Quaker
G R Pumphrey,Quaker
W P Read,Quaker
Isaac Reckitt,Quaker
Jonathan Rees,Quaker
Jane Reynolds,Quaker
G E Richardson,Quaker
John Rickman,Quaker
Josephina Rickman,Quaker
Matilda Rickman,Quaker
Priscilla Rickman,Quaker
R Rickman,Quaker
R P Rickman,Quaker
Isaac Robson,Quaker
J S Robson,Quaker
Joseph Rosling,Quaker
Samuel Rosling,Quaker
John Rowntree,Quaker
W Rowntree,Quaker
Sarah Rundell,Quaker
John F Rutter,Quaker
Samuel Rutter,Quaker
E Sayce,Quaker
Hannah Scarr,Quaker
F Seebohm,Quaker
John R Seekings,Quaker
James Sessions,Quaker
Lydia Sessions,Quaker
Robert Sessions,Quaker
Abraham Sewell,Quaker
E F Sewell,Quaker
Joseph Sewell,Quaker
Phillip Sewell,Quaker
Joseph Sharples,Quaker
John T Shewell,Quaker
Thomas Short,Quaker
W Dillwyn Sims,Quaker
W Skinner,Quaker
Bartholomew Smith,Quaker
George Smithson,Quaker
E P Southall,Quaker
Sarah Southall,Quaker
J M Sparkes,Quaker
H Squire,Quaker
John Stansfield,Quaker
Joseph Sterry,Quaker
Sarah Sterry,Quaker
J L Stevens,Quaker
Charles Sturge,Quaker
Edmund Sturge,Quaker
George Sturge,Quaker
H J Sturge,Quaker
Samuel Sturge,Quaker
Thomas M Sturge,Quaker
Walter Sturge,Quaker
Jemima Swan,Quaker
William Tanner,Quaker
W Tatum,Quaker
Edward Thomas,Quaker
George Thomas,Quaker
Samuel Thompson,Quaker
Fielden Thorpe,Quaker
E O Tindale,Quaker
Robert Tindall,Quaker
Joshua Treffry,Quaker
Nathaniel Tregellis,Quaker
Elizabeth Tuckett,Quaker
Francis Tuckett,Quaker
P Debell Tuckett,Quaker
D Tuke,Quaker
J H Tuke,Quaker
Samuel Tuke,Quaker
Ann Tweedy,Quaker
R Tweedy,Quaker
William Tweedy,Quaker
Richard Veale,Quaker
William Veale,Quaker
John Wadge,Quaker
F J Walker,Quaker
Marriage Wallis,Quaker
Charles B Warner,Quaker
Septimus Warner,Quaker
Lucy Westcombe,Quaker
Thomas Westcombe,Quaker
Benjamin Wheeler,Quaker
Frederick Wheeler,Quaker
Samuel Wheeler,Quaker
John Whiting,Quaker
John Wiblin,Quaker
Caleb Williams,Quaker
John E Wilson,Quaker
Joshua Wilson,Quaker
F Woodhead,Quaker
W Woolston,Quaker
Francis Wright,Quaker
S W Wright,Quaker
