"Name","birth_year","death_year","Target","first_year","last_year"
Charles Holt Bracebridge,"1,799","1,872",AI,1844,1871
Antonio Brady,"1,811","1,881",AI,1864,1871
P A Brady,NA,NA,AI,1867,1871
William Bragge,"1,823","1,884",AI,1870,1871
A C Brebner,NA,"1,873",AI,1867,1871
James Brebner,"1,793","1,874",AI,1863,1871
Charles Brett,NA,"1,878",AI,1865,1871
John Briggs,"1,785","1,875",AI,1845,1871
Lindsay Brine,"1,834","1,906",AI,1869,1871
Charles Cornish Brown,"1,846","1,875",AI,1871,1871
James Roberts Brown,NA,NA,AI,1864,1871
John Allen Brown,"1,831","1,903",AI,1865,1871
Thomas Henry Browne,NA,NA,AI,1867,1871
George Bryant,NA,NA,AI,1867,1871
William Bull,"1,828","1,902",AI,1867,1871
Luke Burke,NA,"1,885",AI,1861,1864
George Busk,"1,807","1,886",AI,1863,1871
William John Busteed,"1,836","1,914",AI,1867,1871
Henry Butler,"1,838",NA,AI,1864,1871
James Butler,NA,NA,AI,1867,1871
Benjamin Bond Cabbell,"1,782","1,874",AI,1864,1871
John Calman,NA,NA,AI,1870,1871
Archibald Campbell,"1,805","1,874",AI,1866,1871
Francis Campbell,"1,798","1,877",AI,1866,1871
George (1) Campbell,"1,824","1,892",AI,1869,1870
James Campbell,NA,NA,AI,1864,1871
T A Campbell,NA,NA,AI,1868,1871
Walter Campbell,NA,NA,AI,1870,1871
William Camps,NA,"1,887",AI,1845,1871
Charles Napoleon de Cardi,"1,844","1,906",AI,1868,1871
William D Carey,"1,837","1,917",AI,1865,1871
John Burford Carlill,"1,814","1,874",AI,1867,1871
Samuel Cartwright,"1,789","1,864",AI,1863,1871
George Catlin,"1,796","1,872",AI,1866,1871
John Cavafy,"1,838","1,901",AI,1865,1871
John Henry Challis,"1,806","1,880",AI,1865,1871
William Chamberlin,NA,NA,AI,1863,1871
Charles Harcourt Chambers,"1,826","1,876",AI,1863,1871
William Chambers,"1,809","1,882",AI,1864,1871
Frank Chance,"1,825","1,897",AI,1863,1871
Edward Charlesworth,"1,813","1,893",AI,1866,1871
William Charlton,"1,814","1,880",AI,1865,1871
William Dinsdale Child,NA,"1,879",AI,1844,1871
Samuel Chinnery,"1,828",NA,AI,1865,1871
William Nathan Chipperfield,"1,822","1,873",AI,1865,1871
T J Cholmondeley,"1,818","1,883",AI,1868,1871
Hyde Clarke,"1,815","1,895",AI,1864,1867
Robert Clarke,NA,NA,AI,1862,1871
William Aloysius Clavering,"1,800","1,872",AI,1861,1871
John (1) Cleghorn,NA,NA,AI,1869,1871
H Clerk,NA,NA,AI,1864,1871
John Colam,"1,827","1,910",AI,1870,1871
Henry Cole,"1,808","1,882",AI,1864,1871
Vicat Cole,"1,833","1,893",AI,1865,1871
John Sherrard Coleman,"1,828","1,905",AI,1854,1871
John Frederick Collingwood,"1,830","1,923",AI,1863,1871
W W Collins,NA,"1,880",AI,1862,1871
John (1) Collinson,"1,842","1,922",AI,1866,1871
Moncure Daniel Conway,"1,832","1,907",AI,1869,1871
William Fothergill Cooke,"1,806","1,879",AI,1864,1871
Daniel Cooper,"1,821","1,902",AI,1863,1871
Frederick Cooper,NA,NA,AI,1866,1871
William C Copperthwaite,"1,809","1,890",AI,1867,1871
Tullie Cornthwaite,"1,807",NA,AI,1846,1871
Frederick William Cosens,"1,819","1,889",AI,1864,1871
Samuel Courtauld,"1,793","1,881",AI,1864,1871
Henry Augustus Cowper,NA,NA,AI,1866,1871
Tom junr Craston,NA,NA,AI,1868,1871
Oswald John Crawfurd,"1,834","1,909",AI,1861,1871
Henry Crowley,NA,"1,887",AI,1864,1871
Moore A Cuffe,NA,NA,AI,1870,1871
Richard Cull,NA,"1,892",AI,1845,1857
Richard S Cunliffe,NA,"1,879",AI,1855,1871
Alexander Cunningham,"1,814","1,893",AI,1869,1871
Edward Barrett Hodges Curteis,NA,"1,886",AI,1867,1871
John Richmond Cuthbert,NA,"1,901",AI,1863,1871
George Cutler,NA,NA,AI,1860,1871
William Barrington D'Almeida,"1,841","1,897",AI,1867,1871
x Daa,"1,809","1,877",AI,1866,1871
G  Wythes Daniell,NA,NA,AI,1858,1871
Robert Dukinfield Darbishire,"1,826","1,908",AI,1869,1871
George Russell Dartnell,"1,799","1,878",AI,1867,1871
Charles Darwin,"1,809","1,882",AI,1861,1871
Arthur Dashwood,NA,NA,AI,1868,1871
John Davidson,NA,NA,AI,1867,1871
Jesse Conway Davies,"1,822",NA,AI,1866,1871
William Davies,NA,NA,AI,1869,1871
George Henry Daw,NA,NA,AI,1868,1871
William Boyd Dawkins,"1,837","1,929",AI,1869,1871
George Dawson,"1,821","1,876",AI,1863,1871
x Derby (formerly Stanley),"1,841","1,908",AI,1864,1871
x Devonshire,"1,808","1,891",AI,1862,1871
George Dibley,NA,NA,AI,1864,1871
Charles Wentworth Dilke,"1,843","1,911",AI,1870,1871
John Dingle,"1,812","1,885",AI,1863,1871
Jacob Ludwig Dohne,"1,811","1,879",AI,1856,1871
John Langdon H Down,"1,828","1,896",AI,1865,1871
D I Drakeford,NA,NA,AI,1866,1871
John Drummond,"1,793","1,875",AI,1864,1871
Alexander Duncan,"1,819","1,887",AI,1868,1871
David Duncan,"1,839","1,923",AI,1870,1871
Francis Duncan,"1,836","1,888",AI,1867,1871
Peter Martin Duncan,"1,824","1,891",AI,1869,1869
Alfred John Dunkin,"1,812","1,879",AI,1868,1871
Robert Dunn,"1,799","1,877",AI,1845,1871
William Eassie,"1,832","1,888",AI,1864,1871
Joseph William Eastwood,"1,828","1,916",AI,1862,1871
Casper W Eddy,NA,NA,AI,1868,1868
John Edwards,NA,NA,AI,1870,1871
Walter Elliot,"1,803","1,887",AI,1869,1871
C H  Fairfax Ellis,NA,NA,AI,1867,1871
William Erle,"1,793","1,880",AI,1863,1871
Edward Bickerton Evans,"1,819","1,893",AI,1864,1871
John Evans,"1,823","1,908",AI,1863,1871
Edward John Eyre,"1,815","1,901",AI,1864,1871
William Fairbairn,"1,789","1,874",AI,1867,1871
Adam Storey Farrar,"1,826","1,905",AI,1870,1871
Frederick Fearon,"1,826",NA,AI,1864,1871
Edwin Foxton Firby,NA,NA,AI,1864,1871
Frederick Firebrace,NA,"1,917",AI,1864,1871
James Firm,NA,NA,AI,1854,1871
Robert Fischer,NA,"1,911",AI,1866,1871
Morton Coates Fisher,NA,NA,AI,1870,1871
George Fleming,"1,833","1,901",AI,1863,1871
John Wickham Flower,"1,807","1,873",AI,1869,1871
George Folsom,"1,802","1,869",AI,1866,1869
David Forbes,"1,828","1,876",AI,1868,1871
Robert Nicholas Fowler,"1,828","1,891",AI,1851,1871
Charles Henry Fox,NA,NA,AI,1861,1871
William Henry Francklyne,NA,NA,AI,1869,1871
Augustus Wollaston Franks,"1,826","1,897",AI,1863,1871
Thomas Fraser,"1,808","1,891",AI,1865,1871
William Freund,"1,806","1,894",AI,1853,1871
Danby Palmer Fry,"1,818","1,903",AI,1863,1864
A  de Fullner,NA,NA,AI,1866,1871
Albert Fytche,"1,820","1,892",AI,1866,1871
Douglas Galton,"1,822","1,899",AI,1861,1871
Francis Galton,"1,822","1,911",AI,1862,1871
C T Gardner,NA,NA,AI,1869,1871
Charles Henry Gardner,NA,"1,872",AI,1864,1871
E V Gardner,NA,NA,AI,1861,1871
Peter Gardner,NA,"1,872",AI,1846,1871
John Peter Gassiot,"1,797","1,877",AI,1862,1871
George Duncan Gibb,"1,821","1,876",AI,1863,1871
Enrico Hillyer Giglioli,"1,845","1,909",AI,1862,1871
William Gillespie,NA,"1,875",AI,1865,1871
Spyridon Glaucopides,NA,NA,AI,1863,1871
Augustus Goldsmid,"1,818","1,874",AI,1865,1871
Richard Thomas Gore,"1,799","1,881",AI,1860,1869
James Gowans,"1,821","1,890",AI,1866,1871
Ryves William Graves,NA,"1,882",AI,1867,1871
Frederick King Green,"1,842","1,915",AI,1869,1871
George Courthope Green,NA,"1,875",AI,1867,1871
William Greenwell,"1,820","1,918",AI,1868,1869
William Rathbone Greg,"1,809","1,881",AI,1865,1871
Walter Gregor,"1,825","1,897",AI,1863,1871
George Grey,"1,812","1,898",AI,1860,1871
Henry Rowland Ellison Grey,"1,834","1,909",AI,1861,1871
Lepel Griffin,"1,838","1,908",AI,1866,1871
James Oliff Griffits,"1,821",NA,AI,1866,1871
William Vernon Guise,"1,816","1,887",AI,1869,1871
James Guthrie,NA,"1,900",AI,1862,1871
Johann Franz ('Julius') Haast,"1,822","1,887",AI,1870,1871
Alexander C Hamilton,NA,NA,AI,1869,1871
Archibald Hamilton,"1,818","1,880",AI,1863,1871
Rowland Hamilton,NA,NA,AI,1853,1871
Richard Davis Hanson,"1,805","1,876",AI,1870,1871
Clarence Harcourt,NA,"1,909",AI,1864,1871
William Harding,"1,809","1,890",AI,1865,1871
Samuel Harraden,NA,NA,AI,1865,1871
Arthur B Harris,NA,NA,AI,1866,1871
James Penn Harris,"1,817","1,892",AI,1867,1871
Charles (1) Harrison,NA,NA,AI,1869,1871
William Henry Harrison,"1,840","1,897",AI,1868,1871
Alfred Edmund Harriss,NA,NA,AI,1869,1871
John E Harvey,NA,"1,879",AI,1863,1871
Frederick Augustus Haserick,"1,828","1,902",AI,1866,1871
George Hawkins,NA,NA,AI,1864,1871
Ferdinand Vandeveer Hayden,"1,829","1,887",AI,1869,1871
Edward Charles Healey,"1,845","1,906",AI,1864,1871
Dunbar Isidore Heath,"1,816","1,888",AI,1864,1871
G J D Heath,NA,"1,880",AI,1869,1871
Alexander Henderson,"1,804",NA,AI,1854,1871
David Mitchell Henderson,NA,NA,AI,1870,1871
P Henderson,NA,NA,AI,1870,1871
Joseph Henry,"1,797","1,878",AI,1869,1871
Robert Hepburn,NA,NA,AI,1855,1871
John Mason Hepworth,NA,NA,AI,1863,1871
Matthew Heslop,NA,NA,AI,1870,1871
B Hewitt,NA,NA,AI,1871,1871
Alfred Hewlett,"1,831","1,918",AI,1863,1871
James Heywood,"1,810","1,897",AI,1844,1871
James Higgin,NA,NA,AI,1863,1871
Alfred Higgins,NA,NA,AI,1863,1871
R  Harvey Hilliard,NA,NA,AI,1870,1871
Frederick Hindmarsh,NA,"1,875",AI,1845,1871
W G E Hobbs,NA,NA,AI,1864,1871
Brian Houghton Hodgson,"1,801","1,894",AI,1863,1871
Kirkman Daniel Hodgson,"1,814","1,879",AI,1863,1871
Carl Alphonse Hoffman,NA,NA,AI,1870,1871
Joseph Hooker,"1,817","1,911",AI,1868,1871
James Hope,NA,NA,AI,1870,1871
John Camden Hotten,"1,832","1,873",AI,1867,1871
Frederick Hovenden,"1,838","1,911",AI,1868,1871
W T Howard,NA,NA,AI,1865,1871
Henry Hoyle Howorth,"1,842","1,923",AI,1856,1871
Henry Hudson,NA,"1,889",AI,1864,1871
Thomas McKenny Hughes,"1,832","1,917",AI,1869,1871
John (2) Hunt,NA,"1,879",AI,1866,1871
William Wilson Hunter,"1,840","1,900",AI,1870,1871
Jonathan Hutchinson,"1,828","1,913",AI,1863,1871
Thomas Henry Huxley,"1,825","1,895",AI,1863,1871
John Inglis,"1,808","1,891",AI,1854,1871
x Isenburg,NA,NA,AI,1854,1871
Henry (the son) Jackson,"1,839","1,921",AI,1863,1871
Henry William (1) Jackson,NA,NA,AI,1863,1871
J W Jackson,NA,"1,872",AI,1863,1871
Horatio Gay James,NA,NA,AI,1865,1871
John Moore Jeffcott,"1,816","1,892",AI,1869,1871
Frederick John Jeffery,NA,NA,AI,1869,1871
Edmund Jeffries,NA,NA,AI,1864,1871
William Jennings,"1,847","1,927",AI,1864,1871
Leonard Jenyns LATER Blomefield,"1,800","1,893",AI,1863,1871
William Jepson,NA,NA,AI,1867,1871
George Curling Joad,"1,837","1,881",AI,1865,1871
Arthur Johnson,NA,NA,AI,1869,1871
x Johore,"1,833","1,895",AI,1866,1871
James Jones,NA,NA,AI,1862,1871
William Arthur Jones,"1,818","1,873",AI,1869,1871
J W  (2) Kaye,"1,840",NA,AI,1868,1871
Claude Buchanan Ker,"1,867","1,925",AI,1867,1871
Nicolai de Khanikof,"1,819","1,878",AI,1866,1871
Joshua Edward Killick,NA,NA,AI,1864,1871
William Kincaid,"1,831","1,909",AI,1865,1871
Edwin Holborow King,NA,"1,900",AI,1869,1871
Richard King,"1,811","1,876",AI,1866,1871
Charles Kingsley,"1,819","1,875",AI,1856,1871
David Kinloch,NA,NA,AI,1870,1871
Richard Kirwan,"1,828","1,872",AI,1869,1871
J L Knapp,NA,NA,AI,1854,1871
William White La Barte,"1,824","1,904",AI,1863,1870
Samuel Laing,"1,812","1,897",AI,1864,1871
Thomas Josiah Laing,"1,810","1,880",AI,1867,1871
John Lancaster,"1,815","1,884",AI,1863,1871
Augustus Henry Lane Fox later Pitt Rivers,"1,827","1,900",AI,1865,1871
Andrew Lang,"1,844","1,912",AI,1861,1871
J Langlands,NA,NA,AI,1867,1871
Robert Gordon Latham,"1,812","1,888",AI,1844,1853
Edward Lawford,"1,820","1,899",AI,1867,1871
Austen Henry Layard,"1,817","1,894",AI,1853,1871
John Edward Lee,"1,808","1,887",AI,1870,1871
Samuel Lees,NA,NA,AI,1863,1871
Joseph Leidy,"1,823","1,891",AI,1869,1871
Henry Leighton,NA,NA,AI,1867,1871
Arthur Charles Wriothesley Lennox,"1,842","1,876",AI,1866,1871
Richard Lepsius,"1,810","1,884",AI,1854,1871
Karl Georg Friedrich Rudolf Leuckart,"1,822","1,898",AI,1861,1871
William Lockhart,"1,811","1,896",AI,1861,1871
Abraham Logan,"1,816","1,873",AI,1863,1871
J R Logan,"1,819","1,869",AI,1866,1869
William Long,"1,817","1,886",AI,1869,1871
Edward Lord,"1,812","1,875",AI,1863,1871
Horatio Love,NA,"1,882",AI,1850,1871
Basil Lovery,NA,"1,897",AI,1868,1871
John Lubbock,"1,834","1,913",AI,1863,1871
Johann Constantin August Lucae,"1,835","1,911",AI,1861,1871
William Collings Lukis,"1,817","1,892",AI,1864,1871
John Alfred Lush,"1,815","1,888",AI,1869,1871
Coryndon H Luxmoore,NA,NA,AI,1864,1871
John Macartney,NA,NA,AI,1869,1871
John Gray Macfarlane,NA,NA,AI,1865,1871
G Macgowan,NA,NA,AI,1861,1871
Draper Mackinder,NA,NA,AI,1863,1871
David Mackintosh,NA,NA,AI,1867,1871
Hector Maclean,"1,818","1,893",AI,1867,1871
George Macleay,"1,809","1,891",AI,1869,1869
Andrew Maclure,"1,813","1,886",AI,1867,1871
William Elphinstone Malcolm,"1,817","1,907",AI,1855,1871
Robert James Mann,"1,817","1,886",AI,1866,1871
Clements Robert Markham,"1,830","1,916",AI,1864,1871
Matthew Henry Marsh,"1,810","1,881",AI,1862,1871
Edward W Martin,NA,NA,AI,1869,1871
John (2) Martin,"1,812","1,874",AI,1864,1871
Richard Biddulph Martin,"1,838","1,916",AI,1868,1871
James Wood Mason,"1,846","1,893",AI,1869,1871
James Mathieson,NA,NA,AI,1863,1871
Henry Matthews,"1,826","1,913",AI,1863,1871
Alfred Maury,"1,817","1,892",AI,1861,1871
Peter Benson Maxwell,"1,817","1,893",AI,1867,1871
Edward Hooper May,"1,831","1,914",AI,1867,1871
Joseph Mayer,"1,803","1,886",AI,1854,1871
William Frederick Mayers,"1,831","1,878",AI,1864,1871
John S Mayson,"1,825",NA,AI,1856,1864
James McClelland,"1,799","1,879",AI,1854,1870
John McCormick,NA,NA,AI,1868,1871
John McDonnell,"1,839","1,879",AI,1864,1871
John Ferguson McLennan,"1,827","1,881",AI,1870,1871
Walter McLeod,NA,NA,AI,1863,1871
John Frederick McNair,"1,828","1,910",AI,1866,1871
Barr Meadows,NA,NA,AI,1867,1871
Charles William Carter Madden Medlicott,"1,839",NA,AI,1867,1871
James Aitken Meigs,"1,829","1,879",AI,1861,1871
John Magens Mello,"1,836","1,903",AI,1867,1871
Evan Powell Meredith,"1,811","1,889",AI,1867,1871
Alexander Michie,"1,833","1,902",AI,1863,1871
William Augustus Miles,NA,NA,AI,1851,1871
John Miller,NA,NA,AI,1867,1871
Joseph Milligan,"1,807","1,884",AI,1863,1871
Henry F Mills,NA,NA,AI,1866,1871
Henri Milne-Edwards,"1,800","1,885",AI,1863,1871
x Milton,"1,839","1,877",AI,1864,1871
Albert Mitchell,NA,NA,AI,1868,1871
Alexander (1) Mitchell,"1,831","1,873",AI,1858,1871
Matthew Moggridge,"1,803","1,882",AI,1869,1871
Frederick Butler Montgomerie,"1,833",NA,AI,1864,1871
John Moody,NA,NA,AI,1868,1871
George Moore,"1,803","1,880",AI,1864,1871
Henry Reginald Moore,NA,NA,AI,1865,1871
John (1) Moore,NA,"1,882",AI,1864,1871
John (2) Moore,NA,NA,AI,1866,1871
Robert Waters Moore,"1,819","1,884",AI,1866,1871
Fortescue John Morgan,NA,NA,AI,1863,1871
William Henry Morgan,NA,NA,AI,1866,1871
James Cotter Morison,"1,832","1,888",AI,1863,1871
Edward Rowley Morris,"1,828","1,893",AI,1871,1871
Eugene Morris,NA,NA,AI,1869,1871
John Morris,"1,823","1,905",AI,1869,1871
James Holmes Morrison,"1,842","1,917",AI,1869,1871
Walter Morrison,"1,836","1,921",AI,1870,1871
John Mortimer,NA,"1,871",AI,1864,1871
John Robert Mortimer,"1,825","1,911",AI,1870,1871
Henry Muirhead,"1,814","1,890",AI,1867,1871
Friedrich Max Muller,"1,823","1,900",AI,1865,1871
Francis Kerridge Munton,NA,NA,AI,1870,1871
J C Murray,NA,NA,AI,1867,1871
Charles Ottley Groom Napier,"1,839","1,894",AI,1865,1871
William Napier,"1,804","1,879",AI,1868,1871
Davyd William Nash,"1,810","1,876",AI,1848,1871
Samuel Nash,NA,NA,AI,1870,1871
J  Dormer Neale,NA,"1,884",AI,1868,1871
Robert Stirling (1) Newall,"1,812","1,889",AI,1870,1871
P H Newnham,NA,NA,AI,1863,1871
Alfred Vincent Newton,NA,NA,AI,1865,1871
Thomas Nicholas,NA,NA,AI,1869,1869
Brinsley Nicholson,"1,824","1,892",AI,1855,1871
Charles Nicholson,"1,808","1,903",AI,1858,1865
Giustiniano Nicolucci,"1,819","1,904",AI,1862,1871
Sven Nilsson,"1,787","1,883",AI,1860,1871
Karl Friedrich Nordmann,"1,830",NA,AI,1868,1871
Henry Norsworthy,NA,NA,AI,1867,1871
Samuel William North,NA,NA,AI,1863,1871
Josiah Clark Nott,"1,804","1,873",AI,1861,1871
John Nottingham,"1,810","1,895",AI,1867,1871
Richard Maddock Nunn,NA,"1,876",AI,1865,1871
P O'Callaghan,NA,NA,AI,1870,1871
Luke Smyth O'Connor,"1,806","1,873",AI,1864,1871
Edward O'Riley,NA,NA,AI,1860,1871
Samuel Pasfield Oliver,"1,838","1,907",AI,1868,1869
Gustav Oppert,"1,836","1,908",AI,1869,1871
John Benn Ormathwaite,"1,798","1,881",AI,1864,1871
W  Billing Orton,NA,NA,AI,1868,1871
Sherard Osborn,"1,822","1,875",AI,1867,1871
John William Willoughby Osborne,"1,833","1,881",AI,1864,1871
Charles Otto,"1,795","1,879",AI,1853,1871
Frederick Ouvry,"1,814","1,881",AI,1869,1871
John Fletcher Owen,"1,839","1,924",AI,1868,1871
Richard Owen,"1,804","1,892",AI,1863,1871
Robert Brisco Owen,"1,799","1,883",AI,1863,1871
Samuel R J Owen,NA,NA,AI,1864,1871
William Gifford Palgrave,"1,826","1,888",AI,1868,1871
Walter Mantell Parker,NA,NA,AI,1870,1871
J  Charlton Parr,NA,NA,AI,1868,1871
Theodore D'Orville Partridge,NA,"1,897",AI,1867,1871
Edmund Patterson,NA,NA,AI,1860,1871
R W Payne,NA,NA,AI,1866,1871
Thomas Bevill Peacock,"1,812","1,882",AI,1863,1871
Alfred Henry Pechell,"1,827","1,885",AI,1866,1871
Robert Peel,"1,838","1,894",AI,1866,1871
John Peiser,"1,801","1,886",AI,1863,1871
William Peppe,NA,"1,937",AI,1869,1871
Josef Anton Maximilian Perty,"1,804","1,884",AI,1860,1871
Horace William Petherick,"1,839","1,919",AI,1863,1871
Arthur Phayre,"1,812","1,885",AI,1862,1871
Philip Phoebus,"1,804","1,880",AI,1861,1867
Charles Pickering,"1,805","1,878",AI,1861,1871
Francois Jules Pictet,"1,809","1,872",AI,1860,1871
Bedford Pim,"1,826","1,886",AI,1866,1871
John Platts,"1,830","1,904",AI,1869,1871
Matthew Conway Poole,"1,841","1,885",AI,1871,1871
Joseph Legg Postlethwaite,NA,"1,871",AI,1844,1871
Joseph Prestwich,"1,812","1,896",AI,1869,1871
Frederick George Hilton Price,"1,842","1,909",AI,1868,1871
Lorenzo T C Price,NA,NA,AI,1868,1871
Thomas Prichard,NA,"1,878",AI,1865,1871
Henry jun Prigg,NA,NA,AI,1863,1871
Alfred Pulford,"1,823","1,896",AI,1866,1871
Arthur Giles Puller,"1,833","1,885",AI,1865,1871
Bernard Quaritch,"1,819","1,899",AI,1865,1871
Lambert Adolphe Jacques Quetelet,"1,796","1,874",AI,1853,1871
James Rae,NA,"1,891",AI,1864,1871
"A , jun Ramsay",NA,NA,AI,1863,1871
John Ramsay,"1,814","1,892",AI,1867,1871
William Francis Ramsay,NA,NA,AI,1867,1871
Jabez Spence Ramskill,"1,825","1,897",AI,1865,1871
Edwin Ransom,"1,841","1,927",AI,1868,1871
Goday Naraen Gajapati Rao,"1,828","1,903",AI,1866,1871
Charles Ratcliff,"1,815","1,885",AI,1863,1871
Henry Rawlinson,"1,810","1,895",AI,1853,1871
Lestock Robert Reid,NA,"1,879",AI,1861,1871
Ernest Renan,"1,823","1,892",AI,1861,1871
Charles Jeremiah Renshaw,"1,841","1,916",AI,1863,1871
Edward Jackson Riccard,NA,"1,872",AI,1867,1871
Franklin Thomas Richards,"1,847","1,905",AI,1867,1871
Charles Richardson,"1,814","1,896",AI,1864,1871
Francis Richardson,"1,815","1,896",AI,1863,1871
George Thorne Ricketts,"1,826","1,919",AI,1870,1871
"x Ripon, De Grey and","1,827","1,909",AI,1850,1871
John Henry Rivett-Carnac,"1,839","1,923",AI,1870,1871
Charles Robert des Ruffieres,NA,"1,883",AI,1863,1871
Daniel Brooke Robertson,"1,810","1,881",AI,1864,1871
Edward Robinson,"1,794","1,863",AI,1852,1863
William Robinson,NA,"1,880",AI,1865,1871
Sampson Roch,"1,829","1,906",AI,1865,1871
George Rogers,"1,809","1,891",AI,1867,1871
George Rolleston,"1,829","1,881",AI,1860,1871
Hyacinthe Ronay,"1,814","1,889",AI,1865,1871
Charles Rooke,"1,809","1,872",AI,1866,1869
James Anderson Rose,"1,819","1,890",AI,1868,1871
x Rosehill,"1,843","1,891",AI,1870,1871
John George Clunies Ross,"1,823","1,871",AI,1860,1871
Ankithum Venkata Nursing Row,"1,827","1,892",AI,1870,1871
Harry Crommelin Rowcroft,"1,840","1,876",AI,1861,1871
Frederick William Rudler,"1,840","1,915",AI,1871,1871
H  Hodgson Rugg,"1,812","1,891",AI,1867,1871
John Ruskin,"1,819","1,900",AI,1864,1871
A H Russell,"1,837","1,916",AI,1860,1871
Charles E Russell,NA,NA,AI,1868,1871
Edward Ryan,"1,793","1,875",AI,1862,1871
Oluf Rygh,"1,833","1,899",AI,1866,1871
David Salomons,"1,797","1,873",AI,1860,1871
William Severin Salting,"1,837","1,905",AI,1863,1871
Alfred Sanders,NA,NA,AI,1864,1871
W  Walbank Sanderson,NA,NA,AI,1869,1871
W H Scattergood,NA,NA,AI,1866,1871
William Mason Scharlieb,"1,829","1,891",AI,1867,1871
Carl Ritter von Scherzer,"1,821","1,903",AI,1861,1871
E Schiemann,NA,NA,AI,1870,1871
John (2) Scott,"1,817","1,890",AI,1867,1871
Robert S Scott,NA,NA,AI,1863,1871
Thomas Scott,NA,NA,AI,1866,1871
John Scouler,"1,804","1,871",AI,1855,1871
Lucy Ellen Sewall,"1,837","1,890",AI,1868,1871
Peter Sharp,NA,NA,AI,1864,1871
Frederick George Shaw,NA,"1,918",AI,1866,1871
x Sheffield,"1,832","1,909",AI,1865,1871
John Shortt,"1,822","1,889",AI,1863,1871
Charles Lionel Showers,"1,816","1,895",AI,1862,1871
Ramon de Silva-Ferro,"1,829","1,889",AI,1863,1871
Frank Simpson,NA,NA,AI,1865,1871
James Simpson,"1,817","1,899",AI,1869,1871
Frederick Mackenzie Skues,"1,834","1,911",AI,1866,1871
William Mackenzie Skues,NA,NA,AI,1863,1871
Bath Charles Smart,"1,838","1,887",AI,1861,1871
Andrew Smith,"1,797","1,872",AI,1864,1871
John Smith,NA,NA,AI,1863,1871
Protheroe Smith,"1,809","1,889",AI,1863,1871
Thomas Eustace Smith,"1,831","1,903",AI,1867,1871
Thomas James Smith,"1,827","1,896",AI,1869,1871
Worthington George Smith,"1,835","1,917",AI,1865,1871
William Somervell,NA,NA,AI,1862,1871
Philip Southby,"1,843","1,908",AI,1867,1871
Henry King Spark,"1,824","1,899",AI,1864,1871
William Spottiswoode,"1,825","1,883",AI,1861,1871
