"Name","religion_id","birth_year","death_year","gender_id","data_source_id"
Arthur Daniel Aulton,NA,"1,828","1,889",1,1
Arthur Dashwood,NA,NA,NA,1,1
Arthur Edmund Crafter,NA,"1,838","1,884",1,1
Arthur Edward Downing,NA,NA,NA,1,1
Arthur Edward McCallum,NA,NA,NA,1,1
Arthur Giles Puller,NA,"1,833","1,885",1,1
Arthur Gordon Gordon,NA,NA,NA,1,1
Arthur Hill,NA,NA,NA,1,1
Arthur Johnson,NA,NA,NA,1,1
Arthur Mitchell,NA,"1,826","1,909",1,1
Arthur Paget,NA,"1,851","1,928",1,1
Arthur Pease,1,NA,NA,,3
Arthur Phayre,NA,"1,812","1,885",1,1
Arthur Tappan,NA,NA,NA,,3
Arthur Trevelyan,NA,NA,"1,880",1,1
Arthur Turrell,NA,"1,846","1,898",1,1
Arthur Vacher,NA,NA,NA,1,1
Arthur William A Beckett,NA,"1,844","1,909",1,1
Arthur de Zeltner,NA,NA,NA,1,1
Arthurs Club,,,,,
Arts Club,,,,,
Arundel Club,,,,,
Ashton Yates,NA,"1,781","1,863",1,1
Association Scientifique de Paris,,,,,
Association for Promoting the General Welfare of the Blind,,,,,
Association for the Protection of Homeopathic Students and Practitioners,,,,,
Assyriologist,,,,,
Athenaeum Club,,,,,
August Friedrich Marschall von Burgholzhausen,NA,"1,804","1,887",1,1
August Hirsch,NA,"1,817","1,894",1,1
August Muller,NA,"1,848","1,892",1,1
Augustin Weisbach,NA,"1,837","1,914",1,1
Augustine Aglio,NA,"1,777","1,857",1,1
Augustus D'Este,NA,NA,NA,,3
Augustus E G Perrot,NA,"1,857","1,880",1,1
Augustus Goldsmid,NA,"1,818","1,874",1,1
Augustus Guest,NA,NA,NA,1,1
Augustus H Hunt,NA,"1,849",NA,1,1
Augustus Heinrich Petermann,NA,"1,822","1,878",1,1
Augustus Henry Lane Fox later Pitt Rivers,NA,"1,827","1,900",1,1
Augustus Jessopp,NA,"1,823","1,914",1,1
Augustus S Wilkins,NA,"1,843","1,905",1,1
Augustus Wollaston Franks,NA,"1,826","1,897",1,1
Austen Henry Layard,NA,"1,817","1,894",1,1
Australia,,,,,
Austria,,,,,
Austria Hungary,,,,,
B G Miraglia,NA,"1,814","1,885",1,1
B H Paul,NA,NA,NA,1,1
B Hewitt,NA,NA,NA,1,1
B Slack,NA,NA,NA,,3
Bacup Natural History Society,,,,,
Balthazar Walter Foster,NA,"1,840","1,913",1,1
Barnard Dickinson,1,NA,NA,,3
Barnet Phillips,NA,"1,827","1,905",1,1
Barr Meadows,NA,NA,NA,1,1
Bartholomew Bernasconi,NA,NA,NA,1,1
Bartholomew Smith,1,NA,NA,,3
Basil Lovery,NA,NA,"1,897",1,1
Bath Charles Smart,NA,"1,838","1,887",1,1
Bath Natural History Society,,,,,
Bath Royal Literary and Scientific Institution,,,,,
Bath and County Club,,,,,
Bayle St John,NA,NA,NA,1,1
Bedford Pim,NA,"1,826","1,886",1,1
Belgian Academy of Sciences of France,,,,,
Belgium,,,,,
Belize,,,,,
Benbow Backhouse Marson,NA,"1,830","1,887",1,1
Benjamin Bond Cabbell,NA,"1,782","1,874",1,1
Benjamin Boyd,NA,NA,NA,,3
Benjamin Collins Brodie,NA,"1,783","1,862",1,1
Benjamin Hinde,NA,NA,NA,1,1
Benjamin Jowett (2),1,NA,NA,,3
Benjamin Phillips,NA,NA,NA,1,1
Benjamin Robert Winthrop,NA,"1,804","1,879",1,1
Benjamin Seebohm,1,NA,NA,,3
Benjamin Vulliamy,NA,"1,780","1,854",1,1
Benjamin Wheeler,1,NA,NA,,3
Benson Baker,NA,NA,NA,1,1
Benson Fryer,NA,NA,NA,,3
Beriah Botfield,NA,"1,807","1,863",1,1
Bermuda,,,,,
Bernard Dorn,NA,"1,805","1,881",1,1
Bernard Edward Brodhurst,NA,"1,822","1,900",1,1
Bernard Quaritch,NA,"1,819","1,899",1,1
Berthold Seemann,NA,"1,825","1,871",1,1
Berwickshire Naturalists Field Club,,,,,
Bev D Hewett,NA,NA,NA,,3
Biblical Archaeological Society,,,,,
Borneo,,,,,
Botanical Society of Edinburgh,,,,,
Botanical Society of London,,,,,
Brasenose Club,,,,,
Brasseur de Bourbourg,NA,"1,814","1,874",1,1
Brazil,,,,,
Brian Houghton Hodgson,NA,"1,801","1,894",1,1
Brice Smyth,NA,"1,838","1,922",1,1
Brinsley Nicholson,NA,"1,824","1,892",1,1
Bristol and Gloucester Archaeological Society,,,,,
British Academy,,,,,
British Archaeological Association,,,,,
British Archaeological Society,,,,,
British Association,,,,,
British Homeopathic Association,,,,,
British Homeopathic Society,,,,,
British Medical Association,,,,,
British Museum,,,,,
British Mycological Society,,,,,
British National Association of Spirtualists,,,,,
Brookes Club,,,,,
Brothers Peek,NA,NA,NA,,3
Buchanan Washbourn,NA,NA,NA,1,1
Buffalo Society of Natural Sciences,,,,,
Burmah,,,,,
Burwood Godlee,1,NA,NA,,3
Buxton Lawrie,NA,NA,NA,,3
C  Poorooshottum Modeliar,NA,NA,NA,1,1
C  Treasure Jones,NA,NA,NA,1,1
C A Albright,NA,NA,NA,,3
C A Du Val,NA,"1,810","1,872",1,1
C Ashby,1,NA,NA,,3
C B Mosse,NA,NA,NA,1,1
C B Robinson,NA,NA,NA,,3
C Baxter,NA,NA,NA,,3
C Clarke,NA,NA,NA,1,1
C Clothier,1,NA,NA,,3
C D Hammond,NA,NA,NA,1,1
C D Tolme,NA,NA,NA,1,1
C E Harle,NA,NA,NA,1,1
C F Howard,NA,NA,NA,1,1
C H  Fairfax Ellis,NA,NA,NA,1,1
C H Pearson,NA,"1,830","1,894",1,1
C Haddison,NA,NA,NA,,3
C Hinchcliffe,NA,NA,NA,,3
C Jervise,NA,NA,NA,1,1
C Knight,1,NA,NA,,3
C Lilgevolch,NA,NA,NA,,3
C Lushington,NA,NA,NA,,3
C M Barter,NA,NA,NA,1,1
C Mottley,NA,NA,NA,,3
C Rathbone,NA,NA,NA,,3
C S Tosswill,NA,NA,NA,,3
C Southall,1,NA,NA,,3
C T Gardner,NA,NA,NA,1,1
C W  Bowdler Bell,NA,"1,839",NA,1,1
C Washbourne,NA,NA,NA,,3
Caerleon Antiquarian Association,,,,,
Caleb Fletcher,1,NA,NA,,3
Caleb Williams,1,NA,NA,,3
Caledonian Club,,,,,
Cambrian Archaeological Association,,,,,
Cambrian Archaeological Society,,,,,
Cambridge Philosophical Society,,,,,
Camden Society,,,,,
Camille Bertrand,NA,NA,"1,863",1,1
Camille Dareste,NA,"1,822","1,899",1,1
Canada,,,,,
Cannibal Club,,,,,
Carl (Karl) Steinhauer,NA,"1,801","1,902",1,1
Carl Alphonse Hoffman,NA,NA,NA,1,1
Carl Ernst von Baer,NA,"1,792","1,876",1,1
Carl Gustav Carus,NA,"1,789","1,869",1,1
Carl Ritter,NA,"1,779","1,859",1,1
Carl Ritter von Scherzer,NA,"1,821","1,903",1,1
Carl Semper,NA,"1,832","1,893",1,1
Carl Vogt,NA,"1,817","1,895",1,1
Carl Wilhelm Ferdinand Uhde,NA,"1,813","1,885",1,1
Carlton Club,,,,,
Caroline Armistead,1,NA,NA,,3
Caroline Marriage,1,NA,NA,,3
Casper W Eddy,NA,NA,NA,1,1
Catherine Backhouse,1,NA,NA,,3
Century Club,,,,,
Ceylon,,,,,
Champion Wetton,NA,NA,NA,1,1
Charity Organization Society,,,,,
Charles (1) Harrison,NA,NA,NA,1,1
Charles A Atkins,NA,NA,NA,1,1
Charles Adlard,NA,NA,NA,,3
Charles Adolphe Morlot,NA,"1,820","1,867",1,1
Charles Alfred Rolph,NA,NA,NA,1,1
Charles Atkins,NA,NA,NA,1,1
Charles Augustus Ward,NA,NA,NA,1,1
Charles B Warner,1,NA,NA,,3
Charles Bennett,NA,NA,NA,1,1
Charles Booth,NA,"1,840","1,916",1,1
Charles Brainsford,NA,NA,NA,1,1
Charles Brett,NA,NA,"1,878",1,1
Charles Brewin,1,NA,NA,,3
Charles Buxton,1,"1,823","1,871",1,1
Charles Capper,NA,"1,822","1,869",1,1
Charles Cardale Babington,NA,"1,808","1,895",1,1
Charles Clark,NA,NA,NA,,3
Charles Cornish Brown,NA,"1,846","1,875",1,1
Charles Darwin,NA,"1,809","1,882",1,1
Charles Donald Maclean,NA,NA,NA,1,1
Charles Duncan Cameron,NA,NA,"1,870",1,1
Charles E Mackintosh,NA,NA,NA,1,1
Charles E Russell,NA,NA,NA,1,1
Charles E Smith,NA,NA,NA,,3
Charles Edward Gover,NA,"1,835","1,872",1,1
Charles Edward Grey,NA,"1,785","1,865",1,1
Charles Edward Stewart,NA,NA,NA,1,1
Charles Francis Lewis,NA,NA,NA,1,1
Charles Frederick Ash,NA,NA,NA,1,1
Charles Garrett,NA,NA,NA,,3
Charles Gillett,1,NA,NA,,3
Charles Groves,NA,"1,793","1,866",1,1
Charles Gutzlaff,NA,NA,NA,,3
Charles H L Woodd,NA,NA,"1,893",1,1
Charles Hamond Alpe,NA,"1,837","1,882",1,1
Charles Harcourt Chambers,NA,"1,826","1,876",1,1
Charles Harding,NA,NA,NA,1,1
Charles Henry Bagnall,NA,NA,"1,869",1,1
Charles Henry Fox,1,NA,NA,1,1
Charles Henry Gardner,NA,NA,"1,872",1,1
Charles Henry Gatty,NA,"1,836","1,903",1,1
Charles Hicks,1,NA,NA,,3
Charles Hindley,NA,NA,NA,,3
Charles Holt Bracebridge,NA,"1,799","1,872",1,1
Charles Horsnaill,1,NA,NA,,3
Charles J Harland,NA,NA,NA,1,1
Charles James Major,NA,NA,NA,1,1
Charles Janson,1,NA,NA,,3
Charles Jellicoe,NA,"1,804","1,882",1,1
Charles Jeremiah Renshaw,NA,"1,841","1,916",1,1
Charles Jupe,NA,NA,NA,,3
Charles Kingsley,NA,"1,819","1,875",1,1
Charles L Braithwaite,1,NA,NA,,3
Charles L Harford,1,NA,NA,,3
Charles Linder,NA,NA,NA,1,1
Charles Lionel Showers,NA,"1,816","1,895",1,1
Charles Lyell,NA,"1,797","1,875",1,1
Charles Malcolm,NA,"1,782","1,851",1,1
Charles Napoleon de Cardi,NA,"1,844","1,906",1,1
Charles Nice Robertson,NA,NA,NA,1,1
Charles Nicholson,NA,"1,808","1,903",1,1
Charles O'Callaghan,NA,NA,"1,875",1,1
Charles Ottley Groom Napier,NA,"1,839","1,894",1,1
Charles Otto,NA,"1,795","1,879",1,1
Charles Pasley,NA,"1,824","1,890",1,1
Charles Pickering,NA,"1,805","1,878",1,1
Charles Plummer,NA,"1,831",NA,1,1
Charles Pyndar Beauchamp Walker,NA,"1,817","1,894",1,1
Charles R Williams,NA,NA,NA,1,1
Charles Radcliffe Bond,NA,NA,NA,1,1
Charles Rafn,NA,"1,795","1,864",1,1
Charles Ratcliff,NA,"1,815","1,885",1,1
Charles Reade,NA,"1,814","1,884",1,1
Charles Richardson,NA,"1,814","1,896",1,1
Charles Robert des Ruffieres,NA,NA,"1,883",1,1
Charles Rogers,NA,NA,NA,1,1
Charles Rooke,NA,"1,809","1,872",1,1
Charles Rowland Goodman,NA,NA,NA,1,1
Charles S Salmon,NA,NA,NA,1,1
Charles Scott,NA,NA,NA,1,1
Charles Sessions,1,NA,NA,,3
Charles Sharp Price,NA,NA,NA,1,1
Charles Sheffield Dickson,NA,NA,NA,1,1
Charles Stenning,NA,NA,NA,1,1
Charles Stuart Bailey,NA,"1,819","1,883",1,1
Charles Sturge,1,NA,NA,,3
Charles Sturgeon,NA,NA,NA,,3
Charles Sumner,NA,NA,NA,,3
Charles Thomas Pearce,NA,"1,815","1,883",1,1
Charles W Bollaert,NA,NA,NA,1,1
Charles Warden,NA,NA,NA,1,1
Charles Wentworth Dilke,NA,"1,843","1,911",1,1
Charles William Carter Madden Medlicott,NA,"1,839",NA,1,1
Charles William Devis,NA,NA,NA,1,1
Charles William Eeles,NA,NA,NA,1,1
Charles William Hoyland,NA,"1,808","1,889",1,1
Charles Wilson,1,NA,NA,,3
Charles jun Tuckett,NA,NA,"1,875",1,1
Chemical Society,,,,,
Child Study Society,,,,,
Childhood Society,,,,,
Chile,,,,,
China,,,,,
Christian JÃ¼rgensen Thomsen,NA,"1,788","1,865",1,1
Christopher Bowley,1,NA,NA,,3
Christopher J Barnard,NA,NA,NA,1,1
Clarence Harcourt,NA,NA,"1,909",1,1
Claude Buchanan Ker,NA,"1,867","1,925",1,1
Clement Jackson,NA,NA,NA,,3
Clements Robert Markham,NA,"1,830","1,916",1,1
CoE,,,,,
Colquehoun Club,,,,,
Connop Thirlwall,NA,"1,797","1,875",1,1
Conrad C Dumas,NA,"1,832","1,891",1,1
Conrad Eckhard,NA,"1,822","1,905",1,1
Conrad Finzel,NA,NA,NA,,3
Conrad Leemans,NA,"1,809",NA,1,1
Conservative Club,,,,,
Constantine Simonides,NA,NA,NA,1,1
Cork Scientific and Literary Society,,,,,
Cornelieus Prior,NA,NA,NA,,3
Cornelis Swaving,NA,"1,814","1,881",1,1
Cornelius Donovan,NA,"1,820","1,872",1,1
Cornelius Hanbury,1,NA,NA,,3
Cornelius Walford,NA,"1,827","1,885",1,1
Cornelius x Jun Hanbury,1,NA,NA,,3
"Corporation Library London, City of",NA,NA,NA,2,1
Coryndon H Luxmoore,NA,NA,NA,1,1
Craig Gibson,NA,"1,813","1,874",1,1
Crewe Alston,NA,"1,828","1,901",1,1
Culling Eardley Smith,NA,NA,NA,,3
Cumberland and Westmorland Antiquarian and Archaeological Society,,,,,
Cunningham Borthwick,NA,"1,813","1,885",1,1
Cyprus,,,,,
Cyrus Clark,1,NA,NA,,3
D  Pye Smith,NA,NA,NA,1,1
D Bellock,NA,NA,NA,1,1
D Bolton,NA,NA,NA,,3
D Brown,NA,NA,NA,,3
D Dodshon,NA,NA,NA,,3
D G F Macdonald,NA,"1,823","1,884",1,1
D G Goyder,NA,"1,796","1,878",1,1
D Holmes,NA,NA,NA,,3
D I Drakeford,NA,NA,NA,1,1
D J Breuneis,NA,NA,NA,1,1
D Lubach,NA,"1,815","1,902",1,1
D Miller,1,NA,NA,,3
D Mitchell,NA,NA,NA,,3
D Nicol,NA,NA,NA,1,1
D P Hock,NA,NA,NA,,3
D P Mack,NA,NA,NA,,3
D Tuke,1,NA,NA,,3
D W Nash,NA,"1,809","1,876",1,1
Dadabhai Naoroji,NA,"1,825","1,917",1,1
Dallas Hill,NA,NA,NA,1,1
Danby Palmer Fry,NA,"1,818","1,903",1,1
Daniel Bell Hanbury,1,NA,NA,,3
Daniel Brooke Robertson,NA,"1,810","1,881",1,1
Daniel Cooper,NA,"1,821","1,902",1,1
Daniel Doncaster,1,NA,NA,,3
Daniel Earl Burdett,NA,NA,NA,1,1
Daniel Mackintosh,NA,"1,815","1,891",1,1
Daniel Maxwell,NA,NA,NA,1,1
Daniel O'Connell,NA,NA,NA,,3
Daniel P Hack,1,NA,NA,,3
Daniel Wheeler,1,NA,NA,,3
Daniel Wilson,NA,"1,816","1,892",1,1
Daniel de Castro,NA,NA,NA,1,1
Dashwood G Parry,NA,NA,NA,1,1
David Blellock,NA,NA,NA,1,1
David Brodie,NA,"1,821","1,909",1,1
David Charles,NA,"1,812","1,878",1,1
David Dale,1,"1,829","1,906",1,1
David Duncan,NA,"1,839","1,923",1,1
David Forbes,NA,"1,828","1,876",1,1
David Gay,NA,"1,826",NA,1,1
David Henry Stone,NA,"1,812","1,890",1,1
David King,NA,NA,"1,866",1,1
David Kinloch,NA,NA,NA,1,1
David Lloyd,NA,NA,NA,1,1
David Mackintosh,NA,NA,NA,1,1
David Mitchell Henderson,NA,NA,NA,1,1
David Morris,NA,NA,NA,1,1
David S Price,NA,NA,NA,1,1
David Salomons,NA,"1,797","1,873",1,1
David Scott,NA,NA,NA,1,1
David Sydenham,NA,NA,NA,1,1
David Wilson,NA,NA,NA,1,1
Davyd William Nash,NA,"1,810","1,876",1,1
Deborah Beesley,1,NA,NA,,3
Deborah Gibson,1,NA,NA,,3
Deborah Sterry,NA,NA,NA,,3
Denison H Allport,NA,NA,NA,,3
Denmark,,,,,
Dominican Republic,,,,,
Dominico Navoni,NA,NA,NA,1,1
Don Flores Estrada,NA,NA,NA,,3
Donald Nicoll,NA,NA,NA,1,1
Douglas Galton,NA,"1,822","1,899",1,1
Draper Mackinder,NA,NA,NA,1,1
Dresden Geographical Society,,,,,
Dunbar Isidore Heath,NA,"1,816","1,888",1,1
Duncan W Forbes,NA,NA,NA,1,1
E & M Elliott,NA,NA,NA,,3
E A Albright,NA,NA,NA,,3
E Abdy,NA,NA,NA,,3
E Atkinson,NA,NA,NA,1,1
E B Tawney,NA,"1,840","1,882",1,1
E Backhouse,NA,NA,NA,,3
E Baines,NA,NA,NA,,3
E Bonavia,NA,NA,NA,1,1
E Crowley,NA,NA,NA,,3
E F Sewell,1,NA,NA,,3
E Ford,NA,NA,NA,,3
E Gilkes,1,NA,NA,,3
E Harris,NA,NA,NA,,3
E J Routh,NA,"1,831","1,907",1,1
E J Selwyn,NA,"1,822","1,893",1,1
E L Birkbeck,1,NA,NA,,3
E Mills,NA,NA,NA,,3
E Morris,NA,NA,NA,,3
E Neave,1,NA,NA,,3
E O Tindale,1,NA,NA,,3
E P Southall,1,NA,NA,,3
E Ridley,NA,NA,NA,,3
E S Schwabe,NA,NA,NA,1,1
E Sayce,1,NA,NA,,3
E Schiemann,NA,NA,NA,1,1
E Stephens,NA,NA,NA,,3
E T Sewell,NA,NA,NA,,3
E T Wakefield,1,NA,NA,1,1
E Tinsley,NA,NA,"1,866",1,1
E V Gardner,NA,NA,NA,1,1
E Walker,NA,NA,NA,,3
ESL,,,,,
Eardley Childers,NA,NA,NA,,3
Early English Text Society,,,,,
East India Club,,,,,
East India United Services Club,,,,,
East Yorkshire Anthropological Society,,,,,
Ebenezer Clarke,NA,NA,NA,,3
Ebenezer Elliott,NA,NA,NA,,3
Ebenezer Smith,NA,NA,NA,,3
Eclectic Medical Society of New York,,,,,
Ecuador,,,,,
Edgar Musgrove,NA,NA,NA,,3
Edinburgh Gratis Sabbath School Society,,,,,
Edinburgh Mathematical Society,,,,,
Edmund Backhouse,1,NA,NA,,3
Edmund Buxton,NA,NA,NA,,3
Edmund Farmer,NA,NA,NA,1,1
Edmund Francis Davis,NA,"1,845","1,889",1,1
Edmund Gurney,1,NA,NA,,3
Edmund J Bridell,NA,NA,NA,1,1
Edmund Jeffries,NA,NA,NA,1,1
Edmund Lloyd,NA,NA,NA,1,1
Edmund Lucas,1,NA,NA,,3
Edmund Patterson,NA,NA,NA,1,1
Edmund Sturge,1,NA,NA,,3
Edmund Walker,NA,NA,NA,1,1
