"Source","Target"
J  S  Stuart Glennie,Athenaeum Club
Augustus Goldsmid,Junior Carlton Club
Augustus Goldsmid,Conservative Club
John Gould,Athenaeum Club
George Bellas Greenough,Athenaeum Club
William Rathbone Greg,Athenaeum Club
Walter Gregor,New Spalding Club
Charles Edward Grey,Athenaeum Club
George Grey,Athenaeum Club
H G Gridley,Oriental Club
John Grover,Army & Navy Club
John Grover,Athenaeum Club
William Vernon Guise,Athenaeum Club
John Henry Gurney,Athenaeum Club
Henry Hallam,Athenaeum Club
Archibald Hamilton,Athenaeum Club
Rowland Hamilton,Oriental Club
John E Harvey,Athenaeum Club
Frederick Augustus Haserick,Brasenose Club
Frederick Augustus Haserick,Manchester Club
Dunbar Isidore Heath,Cannibal Club
John Mason Hepworth,Cannibal Club
James Heywood,Athenaeum Club
Alfred Higgins,Cannibal Club
Kirkman Daniel Hodgson,Athenaeum Club
Jennings Holgate,Arundel Club
Joseph Hooker,X Club
Joseph Hooker,Athenaeum Club
x Houghton,Cannibal Club
x Houghton,Athenaeum Club
Henry Hoyle Howorth,Athenaeum Club
Henry Hoyle Howorth,Carlton Club
Thomas McKenny Hughes,Athenaeum Club
James Hunt,Cannibal Club
William Wilson Hunter,Athenaeum Club
Thomas Henry Huxley,X Club
Thomas Henry Huxley,Athenaeum Club
Henry (the son) Jackson,Athenaeum Club
Le Grand Jacob,East India United Services Club
F H Janson,West Kent Cricket Club
William Jardine,Athenaeum Club
Algernon Joy,Athenaeum Club
Algernon Joy,Junior United Service Club
J  Beete Jukes,Athenaeum Club
William White La Barte,Essex Field Club
Thomas Josiah Laing,Reform Club
Augustus Henry Lane Fox later Pitt Rivers,Guards Club
Augustus Henry Lane Fox later Pitt Rivers,Athenaeum Club
Andrew Lang,Athenaeum Club
Robert Gordon Latham,Athenaeum Club
Edward (1) Lawrence,Athenaeum Club
William Lawrence,Athenaeum Club
Austen Henry Layard,Athenaeum Club
John Lee (2),Athenaeum Club
x Lefroy,Athenaeum Club
Joseph Lister,Athenaeum Club
Robert Liveing,Athenaeum Club
Joseph Norman Lockyer,Athenaeum Club
William Longman,Athenaeum Club
William Longman,Alpine Club
John Lubbock,X Club
John Lubbock,Athenaeum Club
Charles Lyell,Athenaeum Club
Kenneth Robert Henderson Mackenzie,Cannibal Club
George Macleay,Athenaeum Club
Charles Malcolm,Athenaeum Club
William Elphinstone Malcolm,Royal Societies Club
Clements Robert Markham,Oriental Club
Clements Robert Markham,Athenaeum Club
Matthew Henry Marsh,Athenaeum Club
George William Marshall,New University Club
H  Victor Martin,Arundel Club
Richard Biddulph Martin,Athenaeum Club
Richard Biddulph Martin,Wyndham Club
Richard Biddulph Martin,Ranelagh Club
Henry Matthews,Athenaeum Club
Peter Benson Maxwell,Athenaeum Club
John S Mayson,Union Club
John Frederick McNair,Athenaeum Club
Thomas Taylor Meadows,Athenaeum Club
Edward Meryon,Athenaeum Club
Henry F Mills,Thatched House Club
Arthur Mitchell,Royal Societies Club
William Henry Mitchell,Junior Carlton Club
William Stephen Mitchell,New University Club
J Monro,Army & Navy Club
Frederick Butler Montgomerie,Conservative Club
Frederick Butler Montgomerie,Athenaeum Club
Henry Reginald Moore,Junior Garrick Club
Alexander Morison,Athenaeum Club
James Cotter Morison,Athenaeum Club
Walter Morrison,United University Club
J Muir,Athenaeum Club
Roderick Impey Murchison,Athenaeum Club
John Murray,Athenaeum Club
Charles Nicholson,Athenaeum Club
J  Dyce Nicol,Athenaeum Club
P O'Callaghan,"Tennis Court Club, Leamington"
Luke Smyth O'Connor,Union Club
Luke Smyth O'Connor,United Service Club
Laurence Oliphant,Athenaeum Club
Gustav Oppert,"Madras Club, Madras"
William M Ord,Athenaeum Club
John Benn Ormathwaite,Carlton Club
Sherard Osborn,Athenaeum Club
Frederick Ouvry,Athenaeum Club
John Fletcher Owen,Junior United Service Club
Richard Owen,Athenaeum Club
Silas Palmer,Newbury and District Field Club
Harry Parkes,Athenaeum Club
Harry Parkes,Oriental Club
J  Charlton Parr,Junior Carlton Club
George Peacocke,Naval and Military Club
C H Pearson,Athenaeum Club
Erskine Perry,Athenaeum Club
Arthur Phayre,East India United Services Club
Arthur Phayre,Athenaeum Club
Luke Owen Pike,Cannibal Club
Luke Owen Pike,New University Club
George H Pope,New University Club
Thomas Prendergast,East India Club
Joseph Prestwich,Athenaeum Club
Arthur Giles Puller,Athenaeum Club
John Ramsay,Athenaeum Club
John Ramsay,Wyndham Club
G C Rankin,Conservative Club
Charles Ratcliff,Athenaeum Club
Henry Rawlinson,Athenaeum Club
W H Read,Oriental Club
Charles Reade,Garrick Club
William Winwood Reade,Conservative Club
Lestock Robert Reid,Athenaeum Club
Charles Jeremiah Renshaw,Royal Societies Club
x Richards,Wyndham Club
Francis Ignatio Rickard,Athenaeum Club
Francis Ignatio Rickard,Conservative Club
"x Ripon, De Grey and",Athenaeum Club
"x Ripon, De Grey and",Brookes Club
"x Ripon, De Grey and",Traveller's Club
Daniel Brooke Robertson,Athenaeum Club
George Rolleston,Athenaeum Club
Richard Wellesley Rothman,Athenaeum Club
Frederick William Rudler,Essex Field Club
Edward Ryan,Athenaeum Club
David Salomons,Athenaeum Club
W  Walbank Sanderson,Manchester Literary Club
Humfrey Sandwith,Athenaeum Club
Hugh R Semper,Grafton Club
Henry Danby Seymour,Traveller's Club
Henry Danby Seymour,Alfred Club
Henry Danby Seymour,Athenaeum Club
Justin Shiel,Athenaeum Club
James Kay Shuttleworth,Athenaeum Club
S F Simonson,Oriental Club
Andrew Smith,Athenaeum Club
Samuel Reynolds Solly,Athenaeum Club
William Spottiswoode,X Club
William Spottiswoode,Athenaeum Club
Spencer St John,Athenaeum Club
John Stanley,Guards Club
Robert Sidney Stone,Junior Carlton Club
Robert Sidney Stone,Bath and County Club
Robert Sidney Stone,Royal Albert Yacht Club
John Marmaduke Stourton,Junior Athenaeum Club
x Strangford,Athenaeum Club
x Stuart,Athenaeum Club
Algernon Charles Swinburne,Cannibal Club
J J Sylvester,Athenaeum Club
Robert Tait,Athenaeum Club
James Talbot de Malahide,Athenaeum Club
George Tate,Berwickshire Naturalists Field Club
John George Taylor,Athenaeum Club
Richard Temple,Oriental Club
Richard Temple,Athenaeum Club
Richard Temple,Indian Club
John Tennant,Brookes Club
James Emerson Tennent,Athenaeum Club
Connop Thirlwall,Athenaeum Club
Edward Thurlow,Athenaeum Club
William Tooke,Athenaeum Club
Arthur Chilver Tupper,Athenaeum Club
H K Twyford,Junior United Service Club
John Ussher,Arthurs Club
William Sandys Wright Vaux,Athenaeum Club
Edouard J Villin,Cannibal Club
Thomas Francis Wade,Athenaeum Club
Charles Pyndar Beauchamp Walker,United Service Club
James Walker,Athenaeum Club
Stephen Henry Ward,Athenaeum Club
Andrew Scott Waugh,Athenaeum Club
William Henry Wesley,Cannibal Club
James Whishaw,Oriental Club
S W D Williams,Athenaeum Club
William Smith Windham,Carlton Club
Henry Drummond Wolff,Athenaeum Club
Ashton Yates,Athenaeum Club
