"Name","id"
Nationalist Club,16
Naval and Military Club,58
New Athenaeum Club,11
"New Club, Edinburgh",31
New England Historic Genealogical Society,84
New Reform Club,36
New Spalding Club,40
New Sydenham Society,231
New University Club,15
New York Dermatological Society,218
New York Historical Society,254
New York Institute for the Deaf and Dumb,255
New Zealand,17
Newbury and District Field Club,57
Nicaragua,35
North of England Institute of Mining and Mechanical Engineers,235
Northern Homeopathic Society,136
Norway,38
Norwich and Norfolk Geological Society,127
Numismatic Society,113
Obstetrical Society of London,167
Oriental Club,5
Ornithological Society,18
Palaeontographical Society,168
Palestine Exploration Fund,195
Pali Text Society,198
Panama,83
Pathological Society of London,3
Persia,70
Peru,69
Philological Society,86
Philomatic Society of Paris,257
"Philosophical & Literary Society, Leeds",104
Philosophical Institute of Victoria,239
Philosophical Society of Manchester,250
Phrenological Association,29
Phrenological Society,22
Phrenopathic Society of Aversa,191
Physical Research Society,247
Pietermaritzburg Horticultural Society,211
Pitcairn Islands,66
Poland,61
Portugal,37
Prehistoric Society,81
Prehistoric Society of East Anglia,80
Prussia,29
Pscyhological Society,132
Puerto Rico,46
QCA,1
Quaker,1
Ranelagh Club,52
Reform Club,8
Romania,60
Royal Academy,95
Royal Academy of Sciences,189
Royal Agricultural Society,105
Royal Albert Yacht Club,65
Royal Archaeological Institute,145
Royal Asiatic Society,26
Royal Astronomical Society,60
Royal Botanic Society of London,171
Royal Canadian Institute,253
Royal College of Physicians,27
Royal College of Physicians Edinburgh,207
Royal College of Surgeons,2
Royal College of Surgeons Edinburgh,33
Royal College of Surgeons Ireland,177
Royal Colonial Institute,111
Royal Geographical Society,8
Royal Geological Society of Cornwall,141
Royal Historical Society,36
Royal Historical and Archaeological Association of Ireland,248
Royal Horticultural Society of London,39
Royal Institute of British Architects,49
Royal Institute of the Netherlands,63
Royal Institution,129
Royal Irish Academy,56
Royal Medical Society of Berlin,203
Royal Medical and Chirurgical Society,187
Royal Meteorological Society,130
Royal Microscopical Society,149
Royal Norwegian Society of Sciences in Trondheim,197
Royal Numismatic Society,217
Royal Pharmaceutical Society,150
Royal Scottish Academy,194
Royal Scottish Geographical Society,78
Royal Scottish Society of Arts,85
Royal Scottish Society of Painters in Water Colours,52
Royal Societies Club,50
Royal Society,21
"Royal Society for the Encouragement of Arts, Manufactures and Commerce",51
Royal Society for the Prevention of Cruelty to Animals,94
Royal Society of Arts,200
Royal Society of British Sculptors,37
Royal Society of Canada,252
Royal Society of Edinburgh,96
Royal Society of Literature,15
Royal Society of New South Wales,88
Royal Society of Northern Antiquities,76
Royal Society of Northern Antiquities Copenhagen,67
Royal Society of Tasmania,190
Royal Society of Victoria,91
Royal Statistical Society,179
Royal United Service Institution,58
Royal Victoria Yacht Club,20
Ruler,12
Russia,15
Russian Entomological Society,32
Russian Geographic Society,260
Russian Geographical Society,31
Saint Petersburg Academy of Sciences,259
Savile Club,28
Science Club,30
Scotland,6
Scottish History Society,193
Scottish Meteorological Society,192
Scottish Text Society,125
Sesame Club,34
Seychelles,82
Sheffield Literary and Philosophical Society,151
Sheffield Medical Society,163
Singapore,26
Smithsonian Institution,139
Sociedad Antropologica Espanola,53
Societa Italiana di Antropologia e di Etnologia,162
Societe Archaeologique du Midi de la France,79
Societe Archeologique de Namur,110
Societe Parisienne d'Archeologie et d'Histoire,165
Societe des Amis de la Nature of Moscow,54
Society for Biblical Archaeology,237
Society for Promoting Christian Knowledge,118
Society for Psychical Research,50
Society for the Diffusion of Useful Knowledge,72
"Society for the Encouragement of Arts, Manufactures and Commerce",14
Society of Antiquaries,9
Society of Antiquaries of Literature,62
Society of Antiquaries of Scotland,17
"Society of Archaeology, Namur, Brussels",155
Society of Arts,244
Society of Authors,238
Society of Biblical Archaeology,97
Society of Chemical Industry,122
Society of Emulation of Paris,202
Society of Engineers,57
Society of Friends,119
Society of Scottish Antiquarians,249
Soci̩t̩ M̩dico Psychologique,100
Somersetshire Archaeological and Natural History Society,7
South Africa,40
Spain,59
Spalding Club,23
Statistical Society,35
Straits Settlements,63
Sugar Club,25
Surrey Archaeological Society,28
Sussex Archaeological Society,172
Sweden,41
Swedenborg Society,251
Switzerland,43
Sydenham Society,242
Syria,76
Syro Egyptian Society,10
Tasmania,64
"Tennis Court Club, Leamington",55
Thailand,33
Thatched House Club,17
The Philippines,72
Traveller's Club,60
Trinidad,51
Turkey,31
Union Club,14
United Service Club,32
United University Club,38
Upper Hesse Society for Natural and Medical Science,147
Venezuela,44
"Veterinary College, London",230
"Victoria Institute, or Philosophical Institute of Great Britain",196
"Victoria Institute, or Philosophical Society of Great Britain",133
Wales,25
Wernerian Natural History Society,209
Weslyan Mission Society,66
West Indies,36
West Kent Cricket Club,46
Whittington Club,26
Woolhope Naturalists Field Club,24
Worcestershire Archaeological Society,221
"Worcestershire, Severn Valley, Warwickshire and Naturalists' Field Club",220
Wyndham Club,51
X Club,43
Yemen,77
York Philosphical Society,201
Yorkshire Geological and Polytechnic Society,169
Yugoslavia,71
Zetetical Society,215
Zoological Society,34
academic,7
administrative,29
anatomist,38
anthropologist,37
antiquarian,32
archaeologist,18
architect,26
archivist,55
aristocracy,21
armed services,4
artist,10
astrologer,78
astronomer,83
banker,30
biologist,8
book seller,74
botanist,27
business,16
chartered accountant,73
chemist,36
church,6
civil engineer,14
civil service,43
clockmaker,91
collector,15
country,3
diplomacy,13
economist,89
editor,20
educator,17
egyptologist,71
engineer,31
entomologist,47
ethnographer,41
ethnologist,40
explorer,28
farmer,90
geographer,33
geologist,9
geomorphologist,75
goldsmith,45
herpetologist,48
historian,42
inventor,22
ironmaker,44
journalist,54
landowner,76
legal,11
lexicographer,80
librarian,59
linguist,72
literary,1
map maker,66
mathematician,51
medallist,81
medical,3
merchant,61
metallurgist,65
meteorologist,77
mineralogist,64
mining engineer,88
museum work,19
music,25
mycologist,68
naturalist,53
oceanographer,94
orientalist,60
ornithologist,67
palaeoethnologist,62
palaeontologist,35
paleoanthropologist,86
philanthropist,56
philologist,49
philosopher,46
photographer,23
phrenologist,50
plant collector,92
poet,24
police,82
political,5
prehistorian,52
printer,87
private means,93
psychiatrist,58
publisher,39
scientist,79
sociologist,85
statistion,84
translator,57
traveller,70
veterinary surgeon,63
zoologist,34
